posicion,libro,capitulo,versiculo
0,38,1,1
1,38,1,1
2,38,1,1
3,38,1,1
4,38,1,1
5,38,1,1
6,38,1,1
7,38,1,1
8,38,1,1
9,38,1,2
10,38,1,2
11,38,1,2
12,38,1,2
13,38,1,2
14,38,1,2
15,38,1,2
16,38,1,2
17,38,1,2
18,38,1,2
19,38,1,2
20,38,1,2
21,38,1,2
22,38,1,3
23,38,1,3
24,38,1,3
25,38,1,3
26,38,1,3
27,38,1,3
28,38,1,3
29,38,1,3
30,38,1,3
31,38,1,3
32,38,1,3
33,38,1,3
34,38,1,3
35,38,1,4
36,38,1,4
37,38,1,4
38,38,1,4
39,38,1,4
40,38,1,4
41,38,1,4
42,38,1,4
43,38,1,4
44,38,1,4
45,38,1,4
46,38,1,5
47,38,1,5
48,38,1,5
49,38,1,5
50,38,1,5
51,38,1,5
52,38,1,5
53,38,1,5
54,38,1,5
55,38,1,5
56,38,1,5
57,38,1,5
58,38,1,5
59,38,1,5
60,38,1,5
61,38,1,5
62,38,1,5
63,38,1,5
64,38,1,5
65,38,1,5
66,38,1,5
67,38,1,5
68,38,1,5
69,38,1,5
70,38,1,5
71,38,1,5
72,38,1,5
73,38,1,5
74,38,1,5
75,38,1,5
76,38,1,5
77,38,1,5
78,38,1,5
79,38,1,5
80,38,1,5
81,38,1,5
82,38,1,6
83,38,1,6
84,38,1,6
85,38,1,6
86,38,1,6
87,38,1,6
88,38,1,6
89,38,1,6
90,38,1,6
91,38,1,6
92,38,1,6
93,38,1,6
94,38,1,6
95,38,1,6
96,38,1,6
97,38,1,6
98,38,1,6
99,38,1,6
100,38,1,6
101,38,1,6
102,38,1,6
103,38,1,6
104,38,1,6
105,38,1,6
106,38,1,7
107,38,1,7
108,38,1,7
109,38,1,7
110,38,1,7
111,38,1,7
112,38,1,7
113,38,1,7
114,38,1,7
115,38,1,7
116,38,1,7
117,38,1,7
118,38,1,7
119,38,1,7
120,38,1,7
121,38,1,7
122,38,1,7
123,38,1,7
124,38,1,7
125,38,1,7
126,38,1,7
127,38,1,7
128,38,1,7
129,38,1,7
130,38,1,7
131,38,1,7
132,38,1,7
133,38,1,7
134,38,1,7
135,38,1,7
136,38,1,7
137,38,1,8
138,38,1,8
139,38,1,8
140,38,1,8
141,38,1,8
142,38,1,8
143,38,1,8
144,38,1,8
145,38,1,8
146,38,1,8
147,38,1,8
148,38,1,8
149,38,1,8
150,38,1,8
151,38,1,8
152,38,1,8
153,38,1,8
154,38,1,8
155,38,1,8
156,38,1,8
157,38,1,8
158,38,1,8
159,38,1,9
160,38,1,9
161,38,1,9
162,38,1,9
163,38,1,9
164,38,1,9
165,38,1,9
166,38,1,9
167,38,1,9
168,38,1,9
169,38,1,9
170,38,1,9
171,38,1,9
172,38,1,9
173,38,1,9
174,38,1,9
175,38,1,9
176,38,1,9
177,38,1,9
178,38,1,9
179,38,1,9
180,38,1,9
181,38,1,9
182,38,1,9
183,38,1,9
184,38,1,9
185,38,1,9
186,38,1,9
187,38,1,9
188,38,1,9
189,38,1,9
190,38,1,9
191,38,1,9
192,38,1,9
193,38,1,9
194,38,1,9
195,38,1,9
196,38,1,9
197,38,1,9
198,38,1,9
199,38,1,9
200,38,1,9
201,38,1,9
202,38,1,9
203,38,1,9
204,38,1,9
205,38,1,9
206,38,1,9
207,38,1,10
208,38,1,10
209,38,1,10
210,38,1,10
211,38,1,10
212,38,1,10
213,38,1,10
214,38,1,10
215,38,1,10
216,38,1,10
217,38,1,10
218,38,1,10
219,38,1,10
220,38,1,10
221,38,1,10
222,38,1,10
223,38,1,10
224,38,1,10
225,38,1,10
226,38,1,10
227,38,1,10
228,38,1,10
229,38,1,10
230,38,1,10
231,38,1,10
232,38,1,10
233,38,1,10
234,38,1,10
235,38,1,10
236,38,1,10
237,38,1,10
238,38,1,10
239,38,1,10
240,38,1,10
241,38,1,11
242,38,1,11
243,38,1,11
244,38,1,11
245,38,1,11
246,38,1,11
247,38,1,11
248,38,1,11
249,38,1,11
250,38,1,11
251,38,1,11
252,38,1,11
253,38,1,11
254,38,1,11
255,38,1,11
256,38,1,11
257,38,1,11
258,38,1,11
259,38,1,11
260,38,1,11
261,38,1,11
262,38,1,11
263,38,1,11
264,38,1,11
265,38,1,11
266,38,1,11
267,38,1,11
268,38,1,11
269,38,1,11
270,38,1,11
271,38,1,11
272,38,1,11
273,38,1,11
274,38,1,11
275,38,1,11
276,38,1,11
277,38,1,11
278,38,1,11
279,38,1,11
280,38,1,11
281,38,1,11
282,38,1,11
283,38,1,11
284,38,1,11
285,38,1,11
286,38,1,11
287,38,1,11
288,38,1,12
289,38,1,12
290,38,1,12
291,38,1,12
292,38,1,12
293,38,1,12
294,38,1,12
295,38,1,12
296,38,1,12
297,38,1,12
298,38,1,12
299,38,1,12
300,38,1,12
301,38,1,12
302,38,1,12
303,38,1,12
304,38,1,12
305,38,1,12
306,38,1,12
307,38,1,12
308,38,1,12
309,38,1,12
310,38,1,12
311,38,1,12
312,38,1,12
313,38,1,12
314,38,1,12
315,38,1,12
316,38,1,12
317,38,1,12
318,38,1,12
319,38,1,12
320,38,1,12
321,38,1,12
322,38,1,12
323,38,1,12
324,38,1,12
325,38,1,12
326,38,1,12
327,38,1,12
328,38,1,12
329,38,1,12
330,38,1,12
331,38,1,12
332,38,1,13
333,38,1,13
334,38,1,13
335,38,1,13
336,38,1,13
337,38,1,13
338,38,1,13
339,38,1,13
340,38,1,13
341,38,1,13
342,38,1,13
343,38,1,13
344,38,1,13
345,38,1,13
346,38,1,13
347,38,1,13
348,38,1,13
349,38,1,13
350,38,1,13
351,38,1,13
352,38,1,13
353,38,1,13
354,38,1,13
355,38,1,13
356,38,1,14
357,38,1,14
358,38,1,14
359,38,1,14
360,38,1,14
361,38,1,14
362,38,1,14
363,38,1,14
364,38,1,14
365,38,1,14
366,38,1,14
367,38,1,14
368,38,1,14
369,38,1,14
370,38,1,14
371,38,1,14
372,38,1,14
373,38,1,14
374,38,1,14
375,38,1,14
376,38,1,14
377,38,1,14
378,38,1,14
379,38,1,14
380,38,1,14
381,38,1,14
382,38,1,15
383,38,1,15
384,38,1,15
385,38,1,15
386,38,1,15
387,38,1,15
388,38,1,15
389,38,1,15
390,38,1,15
391,38,1,15
392,38,1,15
393,38,1,15
394,38,1,15
395,38,1,15
396,38,1,15
397,38,1,15
398,38,1,15
399,38,1,15
400,38,1,15
401,38,1,15
402,38,1,15
403,38,1,15
404,38,1,15
405,38,1,16
406,38,1,16
407,38,1,16
408,38,1,16
409,38,1,16
410,38,1,16
411,38,1,16
412,38,1,16
413,38,1,16
414,38,1,16
415,38,1,16
416,38,1,16
417,38,1,16
418,38,1,16
419,38,1,16
420,38,1,16
421,38,1,16
422,38,1,16
423,38,1,16
424,38,1,16
425,38,1,16
426,38,1,16
427,38,1,16
428,38,1,16
429,38,1,16
430,38,1,16
431,38,1,17
432,38,1,17
433,38,1,17
434,38,1,17
435,38,1,17
436,38,1,17
437,38,1,17
438,38,1,17
439,38,1,17
440,38,1,17
441,38,1,17
442,38,1,17
443,38,1,17
444,38,1,17
445,38,1,17
446,38,1,17
447,38,1,17
448,38,1,17
449,38,1,17
450,38,1,17
451,38,1,17
452,38,1,17
453,38,1,17
454,38,1,17
455,38,1,17
456,38,1,17
457,38,1,17
458,38,1,17
459,38,1,17
460,38,1,17
461,38,1,17
462,38,1,17
463,38,1,17
464,38,1,17
465,38,1,17
466,38,1,17
467,38,1,17
468,38,1,17
469,38,1,17
470,38,1,17
471,38,1,17
472,38,1,17
473,38,1,17
474,38,1,17
475,38,1,17
476,38,1,17
477,38,1,18
478,38,1,18
479,38,1,18
480,38,1,18
481,38,1,18
482,38,1,18
483,38,1,18
484,38,1,18
485,38,1,18
486,38,1,18
487,38,1,18
488,38,1,18
489,38,1,18
490,38,1,18
491,38,1,18
492,38,1,18
493,38,1,18
494,38,1,18
495,38,1,18
496,38,1,18
497,38,1,18
498,38,1,18
499,38,1,18
500,38,1,18
501,38,1,18
502,38,1,18
