posicion,libro,capitulo,versiculo
0,18,1,1
1,18,1,1
2,18,1,1
3,18,1,1
4,18,1,1
5,18,1,1
6,18,1,1
7,18,1,1
8,18,1,1
9,18,1,1
10,18,1,1
11,18,1,1
12,18,1,1
13,18,1,1
14,18,1,1
15,18,1,1
16,18,1,1
17,18,1,1
18,18,1,1
19,18,1,1
20,18,1,1
21,18,1,1
22,18,1,1
23,18,1,1
24,18,1,1
25,18,1,1
26,18,1,1
27,18,1,1
28,18,1,1
29,18,1,1
30,18,1,1
31,18,1,1
32,18,1,1
33,18,1,1
34,18,1,1
35,18,1,1
36,18,1,1
37,18,1,1
38,18,1,1
39,18,1,1
40,18,1,1
41,18,1,1
42,18,1,1
43,18,1,1
44,18,1,1
45,18,1,1
46,18,1,1
47,18,1,1
48,18,1,1
49,18,1,1
50,18,1,1
51,18,1,1
52,18,1,1
53,18,1,1
54,18,1,1
55,18,1,1
56,18,1,1
57,18,1,1
58,18,1,1
59,18,1,1
60,18,1,1
61,18,1,1
62,18,1,1
63,18,1,1
64,18,1,1
65,18,1,1
66,18,1,1
67,18,1,1
68,18,1,1
69,18,1,1
70,18,1,1
71,18,1,1
72,18,1,1
73,18,1,1
74,18,1,1
75,18,1,1
76,18,1,2
77,18,1,2
78,18,1,2
79,18,1,2
80,18,1,2
81,18,1,2
82,18,1,2
83,18,1,2
84,18,1,2
85,18,1,2
86,18,1,2
87,18,1,2
88,18,1,2
89,18,1,2
90,18,1,2
91,18,1,2
92,18,1,2
93,18,1,2
94,18,1,2
95,18,1,2
96,18,1,2
97,18,1,2
98,18,1,2
99,18,1,2
100,18,1,2
101,18,1,2
102,18,1,3
103,18,1,3
104,18,1,3
105,18,1,3
106,18,1,3
107,18,1,3
108,18,1,3
109,18,1,3
110,18,1,3
111,18,1,3
112,18,1,3
113,18,1,3
114,18,1,3
115,18,1,3
116,18,1,3
117,18,1,3
118,18,1,3
119,18,1,3
120,18,1,3
121,18,1,3
122,18,1,3
123,18,1,3
124,18,1,3
125,18,1,3
126,18,1,3
127,18,1,3
128,18,1,3
129,18,1,3
130,18,1,3
131,18,1,3
132,18,1,3
133,18,1,3
134,18,1,3
135,18,1,3
136,18,1,3
