posicion,libro,capitulo,versiculo
0,17,1,1
1,17,1,1
2,17,1,1
3,17,1,1
4,17,1,1
5,17,1,1
6,17,1,1
7,17,1,1
8,17,1,1
9,17,1,1
10,17,1,1
11,17,1,1
12,17,1,1
13,17,1,1
14,17,1,1
15,17,1,1
16,17,1,1
17,17,1,1
18,17,1,1
19,17,1,1
20,17,1,1
21,17,1,1
22,17,1,1
23,17,1,1
24,17,1,1
25,17,1,1
26,17,1,1
27,17,1,1
28,17,1,1
29,17,1,1
30,17,1,1
31,17,1,1
32,17,1,1
33,17,1,1
34,17,1,1
35,17,1,1
36,17,1,1
37,17,1,1
38,17,1,1
39,17,1,1
40,17,1,1
41,17,1,1
42,17,1,1
43,17,1,1
44,17,1,1
45,17,1,1
46,17,1,1
47,17,1,1
48,17,1,1
49,17,1,1
50,17,1,1
51,17,1,1
52,17,1,1
53,17,1,1
54,17,1,1
55,17,1,1
56,17,1,1
57,17,1,1
58,17,1,1
59,17,1,1
60,17,1,1
61,17,1,1
62,17,1,1
63,17,1,1
64,17,1,1
65,17,1,1
66,17,1,1
67,17,1,1
68,17,1,1
69,17,1,1
70,17,1,1
71,17,1,1
72,17,1,1
73,17,1,1
74,17,1,1
75,17,1,1
76,17,1,1
77,17,1,1
78,17,1,1
79,17,1,1
80,17,1,1
81,17,1,1
82,17,1,1
83,17,1,1
84,17,1,1
85,17,1,1
86,17,1,1
87,17,1,1
88,17,1,1
89,17,1,1
90,17,1,1
91,17,1,2
92,17,1,2
93,17,1,2
94,17,1,2
95,17,1,2
96,17,1,2
97,17,1,2
98,17,1,2
99,17,1,2
100,17,1,2
101,17,1,2
102,17,1,2
103,17,1,2
104,17,1,2
105,17,1,2
106,17,1,2
107,17,1,2
108,17,1,2
109,17,1,2
110,17,1,2
111,17,1,2
112,17,1,2
113,17,1,2
114,17,1,2
115,17,1,2
116,17,1,2
117,17,1,2
118,17,1,2
119,17,1,2
120,17,1,2
121,17,1,2
122,17,1,2
123,17,1,2
124,17,1,2
125,17,1,2
126,17,1,2
127,17,1,2
128,17,1,2
129,17,1,2
130,17,1,2
131,17,1,2
132,17,1,2
133,17,1,2
134,17,1,2
135,17,1,2
136,17,1,2
137,17,1,2
138,17,1,2
139,17,1,2
140,17,1,2
141,17,1,2
142,17,1,2
143,17,1,2
144,17,1,2
145,17,1,2
146,17,1,2
147,17,1,2
148,17,1,2
149,17,1,2
150,17,1,2
151,17,1,3
152,17,1,3
153,17,1,3
154,17,1,3
155,17,1,3
156,17,1,3
157,17,1,3
158,17,1,3
159,17,1,3
160,17,1,3
161,17,1,3
162,17,1,3
163,17,1,3
164,17,1,3
165,17,1,3
