posicion,libro,capitulo,versiculo
0,30,1,1
1,30,1,1
2,30,1,1
3,30,1,1
4,30,1,1
5,30,1,1
6,30,1,1
7,30,1,1
8,30,1,1
9,30,1,1
10,30,1,1
11,30,1,1
12,30,1,1
13,30,1,1
14,30,1,1
15,30,1,1
16,30,1,1
17,30,1,2
18,30,1,2
19,30,1,2
20,30,1,2
21,30,1,2
22,30,1,2
23,30,1,2
24,30,1,2
25,30,1,2
26,30,1,2
27,30,1,2
28,30,1,2
29,30,1,2
30,30,1,2
31,30,1,2
32,30,1,2
33,30,1,2
34,30,1,2
35,30,1,2
36,30,1,2
37,30,1,2
38,30,1,2
39,30,1,2
40,30,1,2
41,30,1,2
42,30,1,2
43,30,1,2
44,30,1,2
45,30,1,2
46,30,1,2
47,30,1,2
48,30,1,3
49,30,1,3
50,30,1,3
51,30,1,3
52,30,1,3
53,30,1,3
54,30,1,3
55,30,1,3
56,30,1,3
57,30,1,3
58,30,1,3
59,30,1,3
60,30,1,3
61,30,1,3
62,30,1,3
63,30,1,3
64,30,1,3
65,30,1,3
66,30,1,3
67,30,1,3
68,30,1,3
69,30,1,3
70,30,1,3
71,30,1,3
72,30,1,3
73,30,1,3
74,30,1,3
75,30,1,3
76,30,1,3
77,30,1,3
78,30,1,3
79,30,1,3
80,30,1,3
81,30,1,3
82,30,1,3
83,30,1,3
84,30,1,3
85,30,1,3
86,30,1,4
87,30,1,4
88,30,1,4
89,30,1,4
90,30,1,4
91,30,1,4
92,30,1,4
93,30,1,4
94,30,1,4
95,30,1,4
96,30,1,4
97,30,1,4
98,30,1,4
99,30,1,4
100,30,1,4
101,30,1,4
102,30,1,4
103,30,1,4
104,30,1,4
105,30,1,4
106,30,1,4
107,30,1,4
108,30,1,4
109,30,1,4
110,30,1,4
111,30,1,4
112,30,1,4
113,30,1,4
114,30,1,4
115,30,1,4
116,30,1,4
117,30,1,4
118,30,1,4
119,30,1,4
120,30,1,4
121,30,1,4
122,30,1,4
123,30,1,4
124,30,1,4
125,30,1,4
126,30,1,4
127,30,1,4
128,30,1,4
129,30,1,4
130,30,1,4
131,30,1,4
132,30,1,4
133,30,1,4
134,30,1,4
135,30,1,4
136,30,1,4
137,30,1,4
138,30,1,4
139,30,1,4
140,30,1,4
141,30,1,4
142,30,1,4
143,30,1,4
144,30,1,4
145,30,1,4
146,30,1,4
147,30,1,4
148,30,1,4
149,30,1,4
150,30,1,4
151,30,1,4
152,30,1,4
153,30,1,4
154,30,1,4
155,30,1,5
156,30,1,5
157,30,1,5
158,30,1,5
159,30,1,5
160,30,1,5
161,30,1,5
162,30,1,5
163,30,1,5
164,30,1,5
165,30,1,5
166,30,1,5
167,30,1,5
168,30,1,5
169,30,1,5
170,30,1,5
171,30,1,5
172,30,1,5
173,30,1,5
174,30,1,5
175,30,1,5
176,30,1,5
177,30,1,5
178,30,1,5
179,30,1,5
180,30,1,5
181,30,1,5
182,30,1,5
183,30,1,5
184,30,1,5
185,30,1,5
186,30,1,5
187,30,1,5
188,30,1,5
189,30,1,5
190,30,1,5
191,30,1,5
192,30,1,5
193,30,1,5
194,30,1,5
195,30,1,5
196,30,1,5
197,30,1,6
198,30,1,6
199,30,1,6
200,30,1,6
201,30,1,6
202,30,1,6
203,30,1,6
204,30,1,6
205,30,1,6
206,30,1,6
207,30,1,6
208,30,1,6
209,30,1,6
210,30,1,6
211,30,1,6
212,30,1,6
213,30,1,6
214,30,1,6
215,30,1,6
216,30,1,6
217,30,1,6
218,30,1,6
219,30,1,6
220,30,1,6
221,30,1,6
222,30,1,6
223,30,1,6
224,30,1,6
225,30,1,6
226,30,1,6
227,30,1,6
228,30,1,6
229,30,1,6
230,30,1,6
231,30,1,6
232,30,1,6
233,30,1,6
234,30,1,6
235,30,1,6
236,30,1,6
237,30,1,6
238,30,1,6
239,30,1,6
240,30,1,6
241,30,1,6
242,30,1,6
243,30,1,6
244,30,1,6
245,30,1,6
246,30,1,6
247,30,1,6
248,30,1,6
249,30,1,6
250,30,1,6
251,30,1,6
252,30,1,6
253,30,1,6
254,30,1,6
255,30,1,6
256,30,1,6
257,30,1,6
258,30,1,6
259,30,1,6
260,30,1,6
261,30,1,6
262,30,1,6
263,30,1,6
264,30,1,6
265,30,1,6
266,30,1,6
267,30,1,6
268,30,1,7
269,30,1,7
270,30,1,7
271,30,1,7
272,30,1,7
273,30,1,7
274,30,1,7
275,30,1,7
276,30,1,7
277,30,1,7
278,30,1,7
279,30,1,7
280,30,1,7
281,30,1,7
282,30,1,7
283,30,1,7
284,30,1,7
285,30,1,7
286,30,1,7
287,30,1,7
288,30,1,7
289,30,1,7
290,30,1,7
291,30,1,7
292,30,1,7
293,30,1,7
294,30,1,7
295,30,1,7
296,30,1,7
297,30,1,7
298,30,1,7
299,30,1,7
300,30,1,7
301,30,1,7
302,30,1,7
303,30,1,7
304,30,1,7
305,30,1,7
306,30,1,7
307,30,1,7
308,30,1,7
309,30,1,7
310,30,1,7
311,30,1,7
312,30,1,7
313,30,1,7
314,30,1,7
315,30,1,7
316,30,1,7
317,30,1,7
318,30,1,7
319,30,1,7
320,30,1,7
321,30,1,7
322,30,1,7
323,30,1,7
324,30,1,7
325,30,1,7
326,30,1,7
327,30,1,7
328,30,1,7
329,30,1,7
330,30,1,7
331,30,1,8
332,30,1,8
333,30,1,8
334,30,1,8
335,30,1,8
336,30,1,8
337,30,1,8
338,30,1,8
339,30,1,8
340,30,1,8
341,30,1,8
342,30,1,8
343,30,1,8
344,30,1,8
345,30,1,8
346,30,1,8
347,30,1,8
348,30,1,8
349,30,1,8
350,30,1,8
351,30,1,8
352,30,1,8
353,30,1,8
354,30,1,8
355,30,1,8
356,30,1,8
357,30,1,8
358,30,1,8
359,30,1,8
360,30,1,8
361,30,1,8
362,30,1,8
363,30,1,8
364,30,1,8
365,30,1,8
366,30,1,8
367,30,1,8
368,30,1,8
369,30,1,8
370,30,1,8
371,30,1,8
372,30,1,8
373,30,1,8
374,30,1,8
375,30,1,8
376,30,1,8
377,30,1,8
378,30,1,8
379,30,1,8
380,30,1,8
381,30,1,8
382,30,1,8
383,30,1,8
384,30,1,8
385,30,1,8
386,30,1,8
387,30,1,8
388,30,1,8
