posicion,libro,capitulo,versiculo
0,35,1,1
1,35,1,1
2,35,1,1
3,35,1,1
4,35,1,1
5,35,1,1
6,35,1,1
7,35,1,1
8,35,1,1
9,35,1,1
10,35,1,1
11,35,1,1
12,35,1,1
13,35,1,1
14,35,1,1
15,35,1,1
16,35,1,1
17,35,1,1
18,35,1,1
19,35,1,1
20,35,1,1
21,35,1,1
22,35,1,1
23,35,1,1
24,35,1,1
25,35,1,1
26,35,1,1
27,35,1,1
28,35,1,1
29,35,1,1
30,35,1,1
31,35,1,1
32,35,1,1
33,35,1,1
34,35,1,1
35,35,1,1
36,35,1,1
37,35,1,1
38,35,1,1
39,35,1,1
40,35,1,1
41,35,1,1
42,35,1,1
43,35,1,1
44,35,1,1
45,35,1,1
46,35,1,1
47,35,1,1
48,35,1,1
49,35,1,1
50,35,1,1
51,35,1,1
52,35,1,1
53,35,1,1
54,35,1,1
55,35,1,1
56,35,1,1
57,35,1,1
58,35,1,1
59,35,1,1
60,35,1,2
61,35,1,2
62,35,1,2
63,35,1,2
64,35,1,2
65,35,1,2
66,35,1,2
67,35,1,2
68,35,1,2
69,35,1,2
70,35,1,2
71,35,1,2
72,35,1,2
73,35,1,2
74,35,1,2
75,35,1,2
76,35,1,2
77,35,1,2
78,35,1,2
79,35,1,2
80,35,1,2
81,35,1,2
82,35,1,2
83,35,1,2
84,35,1,2
85,35,1,2
86,35,1,2
87,35,1,2
88,35,1,2
89,35,1,2
90,35,1,2
91,35,1,2
92,35,1,2
93,35,1,2
94,35,1,2
95,35,1,2
96,35,1,2
97,35,1,2
98,35,1,2
99,35,1,2
100,35,1,2
101,35,1,2
102,35,1,2
103,35,1,2
104,35,1,2
105,35,1,2
106,35,1,2
107,35,1,2
108,35,1,2
109,35,1,2
110,35,1,2
111,35,1,2
112,35,1,2
113,35,1,2
114,35,1,2
115,35,1,2
116,35,1,2
117,35,1,2
118,35,1,2
119,35,1,2
120,35,1,2
121,35,1,2
122,35,1,2
123,35,1,2
124,35,1,2
125,35,1,2
126,35,1,2
127,35,1,2
128,35,1,2
129,35,1,2
130,35,1,2
131,35,1,2
132,35,1,2
133,35,1,2
134,35,1,2
135,35,1,2
136,35,1,2
137,35,1,2
138,35,1,2
139,35,1,2
140,35,1,2
141,35,1,2
142,35,1,2
143,35,1,2
144,35,1,2
145,35,1,2
146,35,1,2
147,35,1,2
148,35,1,2
149,35,1,2
150,35,1,2
151,35,1,3
152,35,1,3
153,35,1,3
154,35,1,3
155,35,1,3
156,35,1,3
157,35,1,3
158,35,1,3
159,35,1,3
160,35,1,3
161,35,1,3
162,35,1,3
163,35,1,3
164,35,1,3
165,35,1,3
166,35,1,3
167,35,1,3
168,35,1,3
169,35,1,3
170,35,1,3
171,35,1,3
172,35,1,3
173,35,1,3
174,35,1,3
175,35,1,3
176,35,1,3
177,35,1,3
178,35,1,3
179,35,1,3
180,35,1,3
181,35,1,3
182,35,1,3
183,35,1,3
184,35,1,3
185,35,1,3
186,35,1,3
187,35,1,3
188,35,1,3
189,35,1,3
190,35,1,3
191,35,1,3
192,35,1,3
193,35,1,3
194,35,1,3
195,35,1,3
196,35,1,3
197,35,1,3
198,35,1,3
199,35,1,3
200,35,1,3
201,35,1,3
202,35,1,3
203,35,1,3
204,35,1,3
205,35,1,3
206,35,1,3
207,35,1,3
208,35,1,3
209,35,1,4
210,35,1,4
211,35,1,4
212,35,1,4
213,35,1,4
214,35,1,4
215,35,1,4
216,35,1,4
217,35,1,4
218,35,1,4
219,35,1,4
220,35,1,4
221,35,1,4
222,35,1,4
223,35,1,4
224,35,1,4
225,35,1,4
226,35,1,4
227,35,1,4
228,35,1,4
229,35,1,4
230,35,1,4
231,35,1,4
232,35,1,4
233,35,1,4
234,35,1,4
235,35,1,4
236,35,1,4
237,35,1,4
238,35,1,4
239,35,1,4
240,35,1,4
241,35,1,4
242,35,1,4
243,35,1,4
244,35,1,4
245,35,1,4
246,35,1,4
247,35,1,4
248,35,1,4
249,35,1,4
250,35,1,4
251,35,1,4
252,35,1,4
253,35,1,4
254,35,1,4
255,35,1,4
256,35,1,4
257,35,1,4
258,35,1,4
259,35,1,4
260,35,1,4
261,35,1,4
262,35,1,4
263,35,1,4
264,35,1,4
265,35,1,4
266,35,1,4
267,35,1,4
268,35,1,4
269,35,1,4
270,35,1,4
271,35,1,4
272,35,1,4
273,35,1,4
274,35,1,4
275,35,1,4
276,35,1,4
277,35,1,4
278,35,1,4
279,35,1,4
280,35,1,4
281,35,1,4
282,35,1,4
283,35,1,4
284,35,1,4
285,35,1,4
286,35,1,4
287,35,1,4
288,35,1,4
289,35,1,4
290,35,1,4
291,35,1,4
292,35,1,4
293,35,1,4
294,35,1,4
295,35,1,4
296,35,1,4
297,35,1,4
298,35,1,4
299,35,1,4
300,35,1,4
301,35,1,4
302,35,1,4
