posicion,libro,capitulo,versiculo
0,5,1,1
55,5,1,1
81,5,1,2
112,5,1,3
167,5,1,3
181,5,1,4
236,5,1,4
248,5,1,5
291,5,1,6
331,5,1,7
389,5,1,7
421,5,1,8
477,5,1,8
506,5,1,9
542,5,1,10
583,5,1,11
635,5,1,12
663,5,1,13
711,5,1,14
744,5,1,15
802,5,1,15
840,5,1,16
894,5,1,16
905,5,1,17
962,5,1,17
996,5,1,18
1030,5,1,19
1084,5,1,19
1118,5,1,20
1158,5,1,21
1213,5,1,21
1223,5,1,22
1279,5,1,22
1320,5,1,23
1363,5,1,24
1400,5,1,25
1457,5,1,25
1473,5,1,26
1504,5,1,27
1562,5,1,27
1575,5,1,28
1628,5,1,28
1657,5,1,29
1685,5,1,30
1741,5,1,31
1795,5,1,31
1816,5,1,32
1846,5,1,33
1903,5,1,33
1912,5,1,34
1946,5,1,35
1998,5,1,35
2005,5,1,36
2059,5,1,36
2070,5,1,37
2105,5,1,38
2157,5,1,39
2212,5,1,39
2230,5,1,40
2258,5,1,41
2312,5,1,41
2352,5,1,42
2409,5,1,42
2415,5,1,43
2460,5,1,44
2518,5,1,44
2533,5,1,45
2579,5,1,46
2609,5,2,1
2665,5,2,2
2681,5,2,3
2706,5,2,4
2762,5,2,4
2772,5,2,5
2825,5,2,5
2829,5,2,6
2875,5,2,7
2932,5,2,7
2953,5,2,8
3006,5,2,8
3026,5,2,9
3081,5,2,9
3102,5,2,10
3136,5,2,11
3175,5,2,12
3235,5,2,12
3265,5,2,13
3300,5,2,14
3355,5,2,14
3397,5,2,15
3430,5,2,16
3464,5,2,17
3480,5,2,18
3504,5,2,19
3558,5,2,19
3576,5,2,20
3630,5,2,21
3680,5,2,22
3736,5,2,22
3749,5,2,23
3804,5,2,24
3858,5,2,24
3879,5,2,25
3934,5,2,25
3948,5,2,26
3996,5,2,27
4033,5,2,28
4083,5,2,29
4137,5,2,29
4167,5,2,30
4220,5,2,30
4242,5,2,31
4297,5,2,32
4331,5,2,33
4373,5,2,34
4426,5,2,34
4430,5,2,35
4462,5,2,36
4515,5,2,36
4547,5,2,37
4597,5,2,37
4603,5,3,1
4659,5,3,2
4715,5,3,2
4749,5,3,3
4806,5,3,3
4812,5,3,4
4868,5,3,4
4884,5,3,5
4934,5,3,6
4986,5,3,7
5011,5,3,8
5067,5,3,8
5072,5,3,9
5110,5,3,10
5162,5,3,11
5217,5,3,11
5252,5,3,12
5308,5,3,12
5324,5,3,13
5381,5,3,13
5397,5,3,14
5453,5,3,14
5475,5,3,15
5492,5,3,16
5547,5,3,16
5558,5,3,17
5612,5,3,18
5668,5,3,18
5698,5,3,19
5752,5,3,20
5808,5,3,20
5841,5,3,21
5895,5,3,21
5941,5,3,22
5972,5,3,23
5995,5,3,24
6047,5,3,24
6078,5,3,25
6129,5,3,26
6184,5,3,26
6194,5,3,27
6251,5,3,27
6261,5,3,28
6317,5,3,28
6328,5,3,29
6346,5,4,1
6403,5,4,1
6443,5,4,2
6496,5,4,2
6517,5,4,3
6573,5,4,3
6593,5,4,4
6626,5,4,5
