posicion,libro,capitulo,versiculo
0,33,1,1
1,33,1,1
2,33,1,1
3,33,1,1
4,33,1,1
5,33,1,1
6,33,1,1
7,33,1,1
8,33,1,1
9,33,1,1
10,33,1,1
11,33,1,1
12,33,1,1
13,33,1,1
14,33,1,1
15,33,1,1
16,33,1,1
17,33,1,1
18,33,1,1
19,33,1,1
20,33,1,1
21,33,1,1
22,33,1,1
23,33,1,2
24,33,1,2
25,33,1,2
26,33,1,2
27,33,1,2
28,33,1,2
29,33,1,2
30,33,1,2
31,33,1,2
32,33,1,2
33,33,1,2
34,33,1,2
35,33,1,2
36,33,1,2
37,33,1,2
38,33,1,2
39,33,1,2
40,33,1,2
41,33,1,2
42,33,1,2
43,33,1,2
44,33,1,2
45,33,1,2
46,33,1,2
47,33,1,2
48,33,1,2
49,33,1,2
50,33,1,2
51,33,1,2
52,33,1,3
53,33,1,3
54,33,1,3
55,33,1,3
56,33,1,3
57,33,1,3
58,33,1,3
59,33,1,3
60,33,1,3
61,33,1,3
62,33,1,3
63,33,1,3
64,33,1,3
65,33,1,3
66,33,1,3
67,33,1,3
68,33,1,3
69,33,1,3
70,33,1,3
71,33,1,3
72,33,1,3
73,33,1,3
74,33,1,3
75,33,1,3
76,33,1,3
77,33,1,3
78,33,1,3
79,33,1,3
80,33,1,3
81,33,1,3
82,33,1,4
83,33,1,4
84,33,1,4
85,33,1,4
86,33,1,4
87,33,1,4
88,33,1,4
89,33,1,4
90,33,1,4
91,33,1,4
92,33,1,4
93,33,1,4
94,33,1,4
95,33,1,4
96,33,1,4
97,33,1,4
98,33,1,4
99,33,1,4
100,33,1,4
101,33,1,4
102,33,1,4
103,33,1,4
104,33,1,4
105,33,1,4
106,33,1,4
107,33,1,4
108,33,1,5
109,33,1,5
110,33,1,5
111,33,1,5
112,33,1,5
113,33,1,5
114,33,1,5
115,33,1,5
116,33,1,5
117,33,1,5
118,33,1,5
119,33,1,5
120,33,1,5
121,33,1,5
122,33,1,5
123,33,1,5
124,33,1,5
125,33,1,5
126,33,1,5
127,33,1,5
128,33,1,5
