posicion,libro,capitulo,versiculo
0,36,1,1
1,36,1,1
2,36,1,1
3,36,1,1
4,36,1,1
5,36,1,1
6,36,1,1
7,36,1,1
8,36,1,1
9,36,1,1
10,36,1,1
11,36,1,1
12,36,1,1
13,36,1,1
14,36,1,1
15,36,1,1
16,36,1,1
17,36,1,1
18,36,1,1
19,36,1,1
20,36,1,1
21,36,1,1
22,36,1,1
23,36,1,1
24,36,1,1
25,36,1,1
26,36,1,1
27,36,1,1
28,36,1,1
29,36,1,1
30,36,1,1
31,36,1,1
32,36,1,1
33,36,1,1
34,36,1,1
35,36,1,1
36,36,1,1
37,36,1,1
38,36,1,1
39,36,1,1
40,36,1,1
41,36,1,1
42,36,1,1
43,36,1,1
44,36,1,1
45,36,1,1
46,36,1,1
47,36,1,1
48,36,1,1
49,36,1,1
50,36,1,1
51,36,1,1
52,36,1,1
53,36,1,1
54,36,1,1
55,36,1,1
56,36,1,1
57,36,1,1
58,36,1,1
59,36,1,1
60,36,1,1
61,36,1,1
62,36,1,1
63,36,1,1
64,36,1,1
65,36,1,1
66,36,1,1
67,36,1,1
68,36,1,1
69,36,1,1
70,36,1,1
71,36,1,1
72,36,1,1
73,36,1,1
74,36,1,1
75,36,1,1
76,36,1,1
77,36,1,1
78,36,1,1
79,36,1,1
80,36,1,1
81,36,1,1
82,36,1,1
83,36,1,1
84,36,1,1
85,36,1,1
86,36,1,1
87,36,1,1
88,36,1,1
89,36,1,1
90,36,1,2
91,36,1,2
92,36,1,2
93,36,1,2
94,36,1,2
95,36,1,2
96,36,1,2
97,36,1,2
98,36,1,2
99,36,1,2
100,36,1,2
101,36,1,2
102,36,1,2
103,36,1,2
104,36,1,2
105,36,1,2
106,36,1,2
107,36,1,2
108,36,1,2
109,36,1,2
110,36,1,2
111,36,1,2
112,36,1,2
113,36,1,2
114,36,1,2
115,36,1,2
116,36,1,2
117,36,1,2
118,36,1,2
119,36,1,2
120,36,1,2
121,36,1,2
122,36,1,2
123,36,1,2
124,36,1,2
125,36,1,2
126,36,1,2
127,36,1,2
128,36,1,2
129,36,1,2
130,36,1,2
131,36,1,2
132,36,1,2
133,36,1,2
134,36,1,2
135,36,1,2
136,36,1,2
137,36,1,2
138,36,1,2
139,36,1,2
140,36,1,2
141,36,1,2
142,36,1,2
143,36,1,2
144,36,1,2
145,36,1,2
146,36,1,2
147,36,1,2
148,36,1,2
149,36,1,2
150,36,1,2
151,36,1,2
152,36,1,2
153,36,1,2
154,36,1,2
155,36,1,2
156,36,1,2
157,36,1,2
158,36,1,2
159,36,1,2
160,36,1,2
161,36,1,2
162,36,1,2
163,36,1,2
164,36,1,2
165,36,1,2
166,36,1,2
167,36,1,2
168,36,1,2
169,36,1,2
170,36,1,3
171,36,1,3
172,36,1,3
173,36,1,3
174,36,1,3
175,36,1,3
176,36,1,3
177,36,1,3
178,36,1,3
179,36,1,3
180,36,1,3
181,36,1,3
182,36,1,3
183,36,1,3
184,36,1,3
185,36,1,3
186,36,1,3
187,36,1,3
188,36,1,3
189,36,1,3
190,36,1,3
191,36,1,3
192,36,1,3
193,36,1,3
194,36,1,3
195,36,1,3
196,36,1,3
197,36,1,3
198,36,1,3
199,36,1,3
200,36,1,3
201,36,1,3
202,36,1,3
203,36,1,3
204,36,1,3
205,36,1,3
206,36,1,3
207,36,1,3
208,36,1,3
209,36,1,3
210,36,1,3
211,36,1,3
212,36,1,3
213,36,1,3
214,36,1,3
215,36,1,3
216,36,1,3
217,36,1,3
218,36,1,3
219,36,1,3
220,36,1,3
221,36,1,3
222,36,1,3
223,36,1,3
224,36,1,3
225,36,1,3
226,36,1,3
227,36,1,3
228,36,1,3
229,36,1,3
230,36,1,3
231,36,1,3
232,36,1,3
233,36,1,3
234,36,1,3
235,36,1,3
236,36,1,3
237,36,1,3
238,36,1,3
239,36,1,3
240,36,1,3
241,36,1,3
242,36,1,3
243,36,1,3
244,36,1,3
245,36,1,3
246,36,1,3
247,36,1,3
248,36,1,3
249,36,1,3
250,36,1,3
251,36,1,3
252,36,1,3
253,36,1,4
254,36,1,4
255,36,1,4
256,36,1,4
257,36,1,4
258,36,1,4
259,36,1,4
260,36,1,4
261,36,1,4
262,36,1,4
263,36,1,4
264,36,1,4
265,36,1,4
266,36,1,4
267,36,1,4
268,36,1,4
269,36,1,4
270,36,1,4
271,36,1,4
272,36,1,4
273,36,1,4
274,36,1,4
275,36,1,4
276,36,1,4
277,36,1,4
278,36,1,4
279,36,1,4
280,36,1,4
281,36,1,4
282,36,1,4
283,36,1,4
284,36,1,4
285,36,1,4
286,36,1,4
287,36,1,4
288,36,1,4
289,36,1,4
290,36,1,4
291,36,1,4
292,36,1,4
293,36,1,4
294,36,1,4
295,36,1,4
296,36,1,4
297,36,1,4
298,36,1,4
299,36,1,4
300,36,1,4
301,36,1,4
302,36,1,4
303,36,1,4
304,36,1,4
305,36,1,4
306,36,1,4
307,36,1,4
308,36,1,4
309,36,1,4
310,36,1,4
311,36,1,4
312,36,1,4
313,36,1,4
314,36,1,4
315,36,1,4
316,36,1,4
317,36,1,4
318,36,1,4
319,36,1,4
320,36,1,4
321,36,1,4
322,36,1,4
323,36,1,4
324,36,1,4
325,36,1,4
326,36,1,4
327,36,1,4
328,36,1,4
329,36,1,4
330,36,1,4
331,36,1,4
332,36,1,4
333,36,1,4
334,36,1,4
335,36,1,4
336,36,1,4
337,36,1,4
338,36,1,4
339,36,1,4
340,36,1,4
341,36,1,4
342,36,1,4
343,36,1,5
344,36,1,5
345,36,1,5
346,36,1,5
347,36,1,5
348,36,1,5
349,36,1,5
350,36,1,5
351,36,1,5
352,36,1,5
353,36,1,5
354,36,1,5
355,36,1,5
356,36,1,5
357,36,1,5
358,36,1,5
359,36,1,5
360,36,1,5
361,36,1,5
362,36,1,5
363,36,1,5
364,36,1,5
365,36,1,5
366,36,1,5
367,36,1,5
368,36,1,5
369,36,1,5
370,36,1,5
371,36,1,5
372,36,1,5
373,36,1,5
374,36,1,5
375,36,1,5
376,36,1,5
377,36,1,5
378,36,1,5
379,36,1,5
380,36,1,5
381,36,1,5
382,36,1,5
383,36,1,5
384,36,1,5
385,36,1,5
386,36,1,5
387,36,1,5
388,36,1,5
389,36,1,5
390,36,1,5
391,36,1,5
392,36,1,5
393,36,1,5
394,36,1,5
395,36,1,5
396,36,1,5
397,36,1,5
398,36,1,5
399,36,1,5
400,36,1,5
401,36,1,5
402,36,1,5
403,36,1,5
404,36,1,5
405,36,1,5
406,36,1,5
407,36,1,5
408,36,1,5
409,36,1,5
410,36,1,5
411,36,1,5
412,36,1,5
413,36,1,5
414,36,1,5
415,36,1,5
416,36,1,5
417,36,1,5
418,36,1,5
419,36,1,5
420,36,1,5
421,36,1,5
422,36,1,5
423,36,1,5
424,36,1,5
425,36,1,5
426,36,1,5
427,36,1,5
428,36,1,5
429,36,1,5
430,36,1,5
431,36,1,6
432,36,1,6
433,36,1,6
434,36,1,6
435,36,1,6
436,36,1,6
437,36,1,6
438,36,1,6
439,36,1,6
440,36,1,6
441,36,1,6
442,36,1,6
443,36,1,6
444,36,1,6
445,36,1,6
446,36,1,6
447,36,1,6
448,36,1,6
449,36,1,6
450,36,1,6
451,36,1,6
452,36,1,6
453,36,1,6
454,36,1,6
455,36,1,6
