posicion,libro,capitulo,versiculo
0,34,1,1
1,34,1,1
2,34,1,1
3,34,1,1
4,34,1,1
5,34,1,1
6,34,1,1
7,34,1,1
8,34,1,1
9,34,1,1
10,34,1,1
11,34,1,1
12,34,1,1
13,34,1,1
14,34,1,1
15,34,1,1
16,34,1,1
17,34,1,1
18,34,1,1
19,34,1,1
20,34,1,1
21,34,1,1
22,34,1,1
23,34,1,1
24,34,1,1
25,34,1,1
26,34,1,1
27,34,1,1
28,34,1,1
29,34,1,1
30,34,1,1
31,34,1,1
32,34,1,1
33,34,1,1
34,34,1,1
35,34,1,1
36,34,1,1
37,34,1,1
38,34,1,1
39,34,1,1
40,34,1,1
41,34,1,1
42,34,1,1
43,34,1,1
44,34,1,1
45,34,1,1
46,34,1,1
47,34,1,1
48,34,1,1
49,34,1,1
50,34,1,1
51,34,1,1
52,34,1,1
53,34,1,1
54,34,1,1
55,34,1,1
56,34,1,1
57,34,1,2
58,34,1,2
59,34,1,2
60,34,1,2
61,34,1,2
62,34,1,2
63,34,1,2
64,34,1,2
65,34,1,2
66,34,1,2
67,34,1,2
68,34,1,2
69,34,1,2
70,34,1,2
71,34,1,2
72,34,1,2
73,34,1,2
74,34,1,2
75,34,1,2
76,34,1,2
77,34,1,2
78,34,1,2
79,34,1,2
80,34,1,2
81,34,1,2
82,34,1,2
83,34,1,2
84,34,1,2
85,34,1,2
86,34,1,2
87,34,1,2
88,34,1,2
89,34,1,2
90,34,1,2
91,34,1,2
92,34,1,2
93,34,1,2
94,34,1,2
95,34,1,2
96,34,1,2
97,34,1,2
98,34,1,2
99,34,1,2
100,34,1,2
101,34,1,2
102,34,1,2
103,34,1,2
104,34,1,3
105,34,1,3
106,34,1,3
107,34,1,3
108,34,1,3
109,34,1,3
110,34,1,3
111,34,1,3
112,34,1,3
113,34,1,3
114,34,1,3
115,34,1,3
116,34,1,3
117,34,1,3
118,34,1,3
119,34,1,3
120,34,1,3
121,34,1,3
122,34,1,3
123,34,1,3
124,34,1,3
125,34,1,3
126,34,1,3
127,34,1,3
128,34,1,3
129,34,1,3
130,34,1,3
131,34,1,3
132,34,1,3
133,34,1,3
134,34,1,3
135,34,1,3
136,34,1,3
137,34,1,3
138,34,1,3
139,34,1,3
140,34,1,3
141,34,1,3
142,34,1,3
143,34,1,3
144,34,1,3
145,34,1,3
146,34,1,3
147,34,1,3
148,34,1,3
149,34,1,3
150,34,1,3
151,34,1,3
152,34,1,3
153,34,1,3
154,34,1,3
155,34,1,3
156,34,1,3
157,34,1,3
158,34,1,3
159,34,1,3
160,34,1,3
161,34,1,3
162,34,1,3
163,34,1,3
164,34,1,3
165,34,1,3
166,34,1,3
167,34,1,3
168,34,1,3
169,34,1,3
170,34,1,4
171,34,1,4
172,34,1,4
173,34,1,4
174,34,1,4
175,34,1,4
176,34,1,4
177,34,1,4
178,34,1,4
179,34,1,4
180,34,1,4
181,34,1,4
182,34,1,4
183,34,1,4
184,34,1,4
185,34,1,4
186,34,1,4
187,34,1,4
188,34,1,4
189,34,1,4
190,34,1,4
191,34,1,4
192,34,1,4
193,34,1,4
194,34,1,4
195,34,1,4
196,34,1,4
197,34,1,4
198,34,1,4
199,34,1,4
200,34,1,4
201,34,1,4
202,34,1,4
203,34,1,4
204,34,1,4
205,34,1,4
206,34,1,4
207,34,1,4
208,34,1,4
209,34,1,4
210,34,1,4
211,34,1,4
212,34,1,4
213,34,1,4
214,34,1,4
215,34,1,4
216,34,1,4
217,34,1,4
218,34,1,4
219,34,1,4
220,34,1,4
221,34,1,4
222,34,1,4
223,34,1,4
224,34,1,4
225,34,1,4
226,34,1,4
227,34,1,4
228,34,1,4
229,34,1,5
230,34,1,5
231,34,1,5
232,34,1,5
233,34,1,5
234,34,1,5
235,34,1,5
236,34,1,5
237,34,1,5
238,34,1,5
239,34,1,5
240,34,1,5
241,34,1,5
242,34,1,5
243,34,1,5
244,34,1,5
245,34,1,5
246,34,1,5
