posicion,libro,capitulo,versiculo
0,2,1,1
44,2,1,2
63,2,1,3
79,2,1,4
93,2,1,5
135,2,1,6
161,2,1,7
209,2,1,8
240,2,1,9
274,2,1,10
331,2,1,10
344,2,1,11
401,2,1,11
406,2,1,12
448,2,1,13
473,2,1,14
529,2,1,14
540,2,1,15
590,2,1,16
647,2,1,16
651,2,1,17
705,2,1,17
711,2,1,18
768,2,1,19
824,2,1,19
839,2,1,20
871,2,1,21
906,2,1,22
957,2,2,1
982,2,2,2
1027,2,2,3
1082,2,2,3
1099,2,2,4
1124,2,2,5
1181,2,2,5
1197,2,2,6
1251,2,2,7
1305,2,2,7
1309,2,2,8
1347,2,2,9
1401,2,2,9
1416,2,2,10
1471,2,2,10
1477,2,2,11
1534,2,2,11
1543,2,2,12
1585,2,2,13
1636,2,2,14
1689,2,2,14
1713,2,2,15
1769,2,2,15
1783,2,2,16
1840,2,2,17
1880,2,2,18
1918,2,2,19
1967,2,2,20
2013,2,2,21
2048,2,2,22
2089,2,2,23
2145,2,2,23
2169,2,2,24
2223,2,2,25
2251,2,3,1
2306,2,3,1
2318,2,3,2
2376,2,3,2
2379,2,3,3
2426,2,3,4
2481,2,3,4
2485,2,3,5
2542,2,3,5
2545,2,3,6
2602,2,3,6
2618,2,3,7
2676,2,3,7
2689,2,3,8
2746,2,3,8
2794,2,3,9
2849,2,3,10
2892,2,3,11
2943,2,3,11
2949,2,3,12
3002,2,3,12
3024,2,3,13
3079,2,3,13
3110,2,3,14
3165,2,3,14
3170,2,3,15
3227,2,3,15
3275,2,3,16
3332,2,3,16
3374,2,3,17
3428,2,3,17
3450,2,3,18
3504,2,3,18
3563,2,3,19
3605,2,3,20
3661,2,3,20
3665,2,3,21
3711,2,3,22
3767,2,3,22
3786,2,4,1
3840,2,4,1
3844,2,4,2
3872,2,4,3
3919,2,4,4
3975,2,4,5
4033,2,4,6
4090,2,4,6
4094,2,4,7
4147,2,4,8
4202,2,4,9
4258,2,4,9
4300,2,4,10
4353,2,4,10
4382,2,4,11
4434,2,4,11
4442,2,4,12
4477,2,4,13
4500,2,4,14
4554,2,4,14
4581,2,4,15
4638,2,4,15
4648,2,4,16
4694,2,4,17
4726,2,4,18
4779,2,4,18
4813,2,4,19
4867,2,4,20
4921,2,4,20
4934,2,4,21
4991,2,4,21
5024,2,4,22
5056,2,4,23
5108,2,4,24
5142,2,4,25
5195,2,4,26
5221,2,4,27
5278,2,4,28
5325,2,4,29
5359,2,4,30
5409,2,4,31
5459,2,4,31
5466,2,5,1
5519,2,5,1
5531,2,5,2
5586,2,5,2
5597,2,5,3
5655,2,5,3
5679,2,5,4
5735,2,5,5
5774,2,5,6
5813,2,5,7
5866,2,5,8
5920,2,5,8
5958,2,5,9
5997,2,5,10
6053,2,5,11
6096,2,5,12
6124,2,5,13
6172,2,5,14
6229,2,5,14
6250,2,5,15
6298,2,5,16
6351,2,5,17
6395,2,5,18
6432,2,5,19
6484,2,5,20
6525,2,5,21
6583,2,5,21
6604,2,5,22
6651,2,5,23
6697,2,6,1
6752,2,6,1
6762,2,6,2
6793,2,6,3
6842,2,6,4
6894,2,6,5
6948,2,6,6
7004,2,6,6
7042,2,6,7
7099,2,6,7
7117,2,6,8
7174,2,6,8
7192,2,6,9
7240,2,6,10
7258,2,6,11
7297,2,6,12
7354,2,6,12
7362,2,6,13
7419,2,6,13
7438,2,6,14
7494,2,6,14
7499,2,6,15
7553,2,6,15
7558,2,6,16
7615,2,6,16
7618,2,6,17
7642,2,6,18
7696,2,6,19
7731,2,6,20
7785,2,6,20
7801,2,6,21
7821,2,6,22
7846,2,6,23
7899,2,6,23
7920,2,6,24
7957,2,6,25
8011,2,6,25
8027,2,6,26
8083,2,6,27
8139,2,6,28
8168,2,6,29
8223,2,6,29
8227,2,6,30
8271,2,7,1
8321,2,7,2
8377,2,7,3
8423,2,7,4
8481,2,7,4
8501,2,7,5
8554,2,7,5
8559,2,7,6
8590,2,7,7
8634,2,7,8
8659,2,7,9
8714,2,7,9
8726,2,7,10
8781,2,7,10
8804,2,7,11
8857,2,7,12
8900,2,7,13
8932,2,7,14
8965,2,7,15
9020,2,7,15
9031,2,7,16
9087,2,7,16
9101,2,7,17
9156,2,7,17
9169,2,7,18
9217,2,7,19
9272,2,7,19
9326,2,7,19
9339,2,7,20
9394,2,7,20
9431,2,7,21
9488,2,7,21
9499,2,7,22
9554,2,7,23
9586,2,7,24
9637,2,7,25
9668,2,7,26
9723,2,7,27
9763,2,7,28
9818,2,7,28
9841,2,7,29
9871,2,8,1
9924,2,8,1
9954,2,8,2
10001,2,8,3
10046,2,8,4
10103,2,8,4
10125,2,8,5
10183,2,8,5
10204,2,8,6
10246,2,8,7
10291,2,8,8
10347,2,8,9
10396,2,8,10
10422,2,8,11
10472,2,8,12
10526,2,8,12
10534,2,8,13
10590,2,8,13
10615,2,8,14
10673,2,8,15
10728,2,8,15
10735,2,8,16
10792,2,8,16
10814,2,8,17
10871,2,8,17
10902,2,8,18
10956,2,8,18
10976,2,8,19
11011,2,8,20
11068,2,8,20
11076,2,8,21
11119,2,8,22
11175,2,8,22
11201,2,8,23
11250,2,8,24
11307,2,8,24
11321,2,8,25
11375,2,8,25
11419,2,8,26
11444,2,8,27
11492,2,8,28
11527,2,9,1
11582,2,9,1
11592,2,9,2
11618,2,9,3
11676,2,9,3
11679,2,9,4
11735,2,9,5
11773,2,9,6
11828,2,9,6
11831,2,9,7
11885,2,9,8
11942,2,9,8
11951,2,9,9
12006,2,9,9
12014,2,9,10
12068,2,9,10
12087,2,9,11
12141,2,9,11
12146,2,9,12
12189,2,9,13
12243,2,9,13
12268,2,9,14
12323,2,9,14
12334,2,9,15
12377,2,9,16
12430,2,9,17
12453,2,9,18
12507,2,9,18
12513,2,9,19
12566,2,9,19
12594,2,9,20
12642,2,9,21
12686,2,9,22
12739,2,9,22
12768,2,9,23
12822,2,9,23
12835,2,9,24
12891,2,9,24
12899,2,9,25
12954,2,9,25
12972,2,9,26
13002,2,9,27
13061,2,9,27
13067,2,9,28
13120,2,9,29
13176,2,9,29
13201,2,9,30
13240,2,9,31
13277,2,9,32
13303,2,9,33
13360,2,9,33
13367,2,9,34
13419,2,9,35
13463,2,10,1
13518,2,10,1
13530,2,10,2
13587,2,10,2
13602,2,10,3
13658,2,10,3
13679,2,10,4
13718,2,10,5
13773,2,10,5
13801,2,10,6
13855,2,10,6
13895,2,10,7
13951,2,10,7
13979,2,10,8
14035,2,10,8
14041,2,10,9
14101,2,10,9
14108,2,10,10
14160,2,10,10
14165,2,10,11
14219,2,10,11
14223,2,10,12
14277,2,10,12
14304,2,10,13
14358,2,10,13
14389,2,10,14
14444,2,10,14
14466,2,10,15
14520,2,10,15
14564,2,10,16
14612,2,10,17
14665,2,10,17
14668,2,10,18
14690,2,10,19
14744,2,10,19
14759,2,10,20
14792,2,10,21
14843,2,10,22
14891,2,10,23
14946,2,10,23
14953,2,10,24
15007,2,10,24
15014,2,10,25
15061,2,10,26
15117,2,10,26
15143,2,10,27
15171,2,10,28
15223,2,10,29
15253,2,11,1
15308,2,11,1
15333,2,11,2
15387,2,11,3
15442,2,11,3
15459,2,11,4
15501,2,11,5
15555,2,11,5
15571,2,11,6
15619,2,11,7
15676,2,11,7
15693,2,11,8
15749,2,11,8
15771,2,11,9
15822,2,11,10
15876,2,11,10
15894,2,12,1
15928,2,12,2
15966,2,12,3
16019,2,12,3
16023,2,12,4
16079,2,12,4
16092,2,12,5
16133,2,12,6
16187,2,12,6
16196,2,12,7
16252,2,12,8
16294,2,12,9
16346,2,12,10
16386,2,12,11
16442,2,12,11
16459,2,12,12
16514,2,12,12
