posicion,libro,capitulo,versiculo
0,22,1,1
1,22,1,1
2,22,1,1
3,22,1,1
4,22,1,1
5,22,1,1
6,22,1,1
7,22,1,1
8,22,1,1
9,22,1,1
10,22,1,1
11,22,1,1
12,22,1,1
13,22,1,1
14,22,1,1
15,22,1,1
16,22,1,1
17,22,1,1
18,22,1,1
19,22,1,1
20,22,1,2
21,22,1,2
22,22,1,2
23,22,1,2
24,22,1,2
25,22,1,2
26,22,1,2
27,22,1,2
28,22,1,2
29,22,1,2
30,22,1,2
31,22,1,2
32,22,1,2
33,22,1,2
34,22,1,2
35,22,1,2
36,22,1,2
37,22,1,2
38,22,1,2
39,22,1,2
40,22,1,2
41,22,1,2
42,22,1,2
43,22,1,2
44,22,1,2
45,22,1,2
46,22,1,2
47,22,1,2
48,22,1,2
49,22,1,2
50,22,1,2
51,22,1,2
52,22,1,2
53,22,1,2
54,22,1,2
55,22,1,2
56,22,1,2
57,22,1,2
58,22,1,2
59,22,1,2
60,22,1,3
61,22,1,3
62,22,1,3
63,22,1,3
64,22,1,3
65,22,1,3
66,22,1,3
67,22,1,3
68,22,1,3
69,22,1,3
70,22,1,3
71,22,1,3
72,22,1,3
73,22,1,3
74,22,1,3
75,22,1,3
76,22,1,3
77,22,1,3
78,22,1,3
79,22,1,3
80,22,1,3
81,22,1,3
82,22,1,3
83,22,1,3
84,22,1,3
85,22,1,3
86,22,1,3
87,22,1,3
88,22,1,3
89,22,1,3
90,22,1,3
91,22,1,3
92,22,1,3
93,22,1,3
94,22,1,3
95,22,1,3
96,22,1,3
97,22,1,3
98,22,1,3
99,22,1,3
100,22,1,3
101,22,1,3
102,22,1,3
103,22,1,3
104,22,1,3
105,22,1,3
106,22,1,4
107,22,1,4
108,22,1,4
109,22,1,4
110,22,1,4
111,22,1,4
112,22,1,4
113,22,1,4
114,22,1,4
115,22,1,4
116,22,1,4
117,22,1,4
118,22,1,4
119,22,1,4
120,22,1,4
121,22,1,4
122,22,1,4
123,22,1,4
124,22,1,4
125,22,1,4
126,22,1,4
127,22,1,4
128,22,1,4
129,22,1,4
130,22,1,4
131,22,1,4
132,22,1,4
133,22,1,4
134,22,1,4
135,22,1,4
136,22,1,4
137,22,1,4
138,22,1,4
139,22,1,4
140,22,1,4
141,22,1,4
142,22,1,4
143,22,1,4
144,22,1,4
145,22,1,4
146,22,1,4
147,22,1,4
148,22,1,4
149,22,1,4
150,22,1,4
151,22,1,4
152,22,1,4
153,22,1,4
154,22,1,4
155,22,1,4
156,22,1,4
157,22,1,4
158,22,1,4
159,22,1,4
160,22,1,4
161,22,1,4
162,22,1,4
163,22,1,4
164,22,1,5
165,22,1,5
166,22,1,5
167,22,1,5
168,22,1,5
169,22,1,5
170,22,1,5
171,22,1,5
172,22,1,5
173,22,1,5
174,22,1,5
175,22,1,5
176,22,1,5
177,22,1,5
178,22,1,5
179,22,1,5
180,22,1,5
181,22,1,5
182,22,1,5
183,22,1,5
184,22,1,5
185,22,1,5
186,22,1,5
187,22,1,5
188,22,1,5
189,22,1,5
190,22,1,5
191,22,1,5
192,22,1,5
193,22,1,5
194,22,1,5
195,22,1,5
196,22,1,5
197,22,1,5
198,22,1,5
199,22,1,5
200,22,1,5
201,22,1,5
202,22,1,5
203,22,1,5
204,22,1,5
205,22,1,5
206,22,1,5
207,22,1,5
208,22,1,5
209,22,1,5
210,22,1,5
211,22,1,5
212,22,1,5
213,22,1,5
214,22,1,5
215,22,1,5
216,22,1,6
217,22,1,6
218,22,1,6
219,22,1,6
220,22,1,6
221,22,1,6
222,22,1,6
223,22,1,6
224,22,1,6
225,22,1,6
226,22,1,6
227,22,1,6
228,22,1,6
229,22,1,6
230,22,1,6
231,22,1,6
232,22,1,6
233,22,1,6
234,22,1,6
235,22,1,6
236,22,1,6
237,22,1,6
238,22,1,6
239,22,1,6
240,22,1,6
241,22,1,6
242,22,1,6
243,22,1,6
244,22,1,6
245,22,1,6
246,22,1,6
247,22,1,6
248,22,1,6
249,22,1,6
250,22,1,6
251,22,1,6
252,22,1,6
253,22,1,6
254,22,1,6
255,22,1,6
256,22,1,6
257,22,1,6
258,22,1,6
259,22,1,6
260,22,1,6
261,22,1,6
262,22,1,6
263,22,1,6
264,22,1,6
265,22,1,6
266,22,1,6
267,22,1,6
268,22,1,6
269,22,1,6
270,22,1,6
271,22,1,6
272,22,1,6
273,22,1,6
274,22,1,6
275,22,1,7
276,22,1,7
277,22,1,7
278,22,1,7
279,22,1,7
280,22,1,7
281,22,1,7
282,22,1,7
283,22,1,7
284,22,1,7
285,22,1,7
286,22,1,7
287,22,1,7
288,22,1,7
289,22,1,7
290,22,1,7
291,22,1,7
292,22,1,7
293,22,1,7
294,22,1,7
295,22,1,7
296,22,1,7
297,22,1,7
298,22,1,7
299,22,1,7
300,22,1,7
301,22,1,7
302,22,1,7
303,22,1,8
304,22,1,8
305,22,1,8
306,22,1,8
307,22,1,8
308,22,1,8
309,22,1,8
310,22,1,8
311,22,1,8
312,22,1,8
313,22,1,8
314,22,1,8
315,22,1,8
316,22,1,8
317,22,1,8
318,22,1,8
319,22,1,8
320,22,1,8
321,22,1,8
322,22,1,8
323,22,1,8
324,22,1,8
325,22,1,8
326,22,1,8
327,22,1,8
328,22,1,8
329,22,1,8
330,22,1,8
331,22,1,8
332,22,1,8
333,22,1,8
334,22,1,8
335,22,1,8
336,22,1,8
337,22,1,8
338,22,1,8
339,22,1,8
340,22,1,8
341,22,1,8
342,22,1,8
343,22,1,8
344,22,1,8
345,22,1,8
346,22,1,8
347,22,1,8
348,22,1,8
349,22,1,8
350,22,1,8
351,22,1,8
352,22,1,8
353,22,1,8
354,22,1,8
355,22,1,8
356,22,1,8
357,22,1,8
358,22,1,8
359,22,1,8
360,22,1,8
361,22,1,8
362,22,1,8
363,22,1,8
364,22,1,8
365,22,1,8
366,22,1,8
367,22,1,8
368,22,1,8
369,22,1,9
370,22,1,9
371,22,1,9
372,22,1,9
373,22,1,9
374,22,1,9
375,22,1,9
376,22,1,9
377,22,1,9
378,22,1,9
379,22,1,9
380,22,1,9
381,22,1,9
382,22,1,9
383,22,1,9
384,22,1,9
385,22,1,9
386,22,1,9
387,22,1,9
388,22,1,9
389,22,1,9
390,22,1,9
391,22,1,9
392,22,1,9
393,22,1,9
394,22,1,9
395,22,1,9
396,22,1,9
397,22,1,9
398,22,1,9
399,22,1,9
400,22,1,9
401,22,1,9
402,22,1,9
403,22,1,9
404,22,1,9
405,22,1,9
406,22,1,10
407,22,1,10
408,22,1,10
409,22,1,10
410,22,1,10
411,22,1,10
412,22,1,10
413,22,1,10
414,22,1,10
415,22,1,10
416,22,1,10
417,22,1,10
418,22,1,10
419,22,1,10
420,22,1,10
421,22,1,10
422,22,1,10
423,22,1,10
424,22,1,10
425,22,1,10
426,22,1,10
427,22,1,10
428,22,1,10
429,22,1,10
430,22,1,10
431,22,1,10
432,22,1,10
433,22,1,10
434,22,1,10
435,22,1,10
436,22,1,10
437,22,1,10
438,22,1,10
439,22,1,10
440,22,1,10
441,22,1,10
442,22,1,10
443,22,1,10
444,22,1,10
445,22,1,10
446,22,1,10
447,22,1,10
448,22,1,10
449,22,1,10
450,22,1,10
451,22,1,10
452,22,1,10
453,22,1,10
454,22,1,10
455,22,1,10
456,22,1,10
457,22,1,10
458,22,1,10
459,22,1,10
460,22,1,10
461,22,1,11
462,22,1,11
463,22,1,11
464,22,1,11
465,22,1,11
466,22,1,11
467,22,1,11
468,22,1,11
469,22,1,11
470,22,1,11
471,22,1,11
472,22,1,11
473,22,1,11
474,22,1,11
475,22,1,11
476,22,1,11
477,22,1,11
478,22,1,11
479,22,1,11
480,22,1,11
481,22,1,11
482,22,1,11
483,22,1,11
484,22,1,11
485,22,1,11
486,22,1,11
487,22,1,11
488,22,1,12
489,22,1,12
490,22,1,12
491,22,1,12
492,22,1,12
493,22,1,12
494,22,1,12
495,22,1,12
496,22,1,12
497,22,1,12
498,22,1,12
499,22,1,12
500,22,1,12
501,22,1,12
502,22,1,12
503,22,1,12
504,22,1,12
505,22,1,12
506,22,1,12
507,22,1,12
508,22,1,12
509,22,1,12
510,22,1,12
511,22,1,12
512,22,1,12
513,22,1,12
514,22,1,12
515,22,1,12
516,22,1,12
517,22,1,12
518,22,1,12
519,22,1,12
520,22,1,12
521,22,1,12
522,22,1,12
523,22,1,12
524,22,1,12
525,22,1,12
526,22,1,12
527,22,1,12
528,22,1,12
529,22,1,12
530,22,1,12
531,22,1,12
532,22,1,12
533,22,1,12
534,22,1,12
535,22,1,12
536,22,1,12
537,22,1,12
538,22,1,12
539,22,1,12
540,22,1,12
541,22,1,12
542,22,1,12
543,22,1,12
544,22,1,12
545,22,1,13
546,22,1,13
547,22,1,13
548,22,1,13
549,22,1,13
550,22,1,13
551,22,1,13
552,22,1,13
553,22,1,13
554,22,1,13
555,22,1,13
556,22,1,13
557,22,1,13
558,22,1,13
559,22,1,13
560,22,1,13
561,22,1,13
562,22,1,13
563,22,1,13
564,22,1,13
565,22,1,13
566,22,1,13
567,22,1,13
568,22,1,13
569,22,1,13
570,22,1,13
571,22,1,13
572,22,1,13
573,22,1,13
574,22,1,13
575,22,1,13
576,22,1,13
577,22,1,13
578,22,1,13
579,22,1,13
580,22,1,13
581,22,1,13
582,22,1,13
583,22,1,13
584,22,1,13
585,22,1,13
586,22,1,13
587,22,1,13
588,22,1,13
589,22,1,13
590,22,1,13
591,22,1,13
592,22,1,13
593,22,1,13
594,22,1,13
595,22,1,13
596,22,1,13
597,22,1,13
598,22,1,13
599,22,1,13
600,22,1,13
601,22,1,13
602,22,1,13
603,22,1,13
604,22,1,13
