posicion,libro,capitulo,versiculo
0,24,1,1
1,24,1,1
2,24,1,1
3,24,1,1
4,24,1,1
5,24,1,1
6,24,1,1
7,24,1,1
8,24,1,1
9,24,1,1
10,24,1,1
11,24,1,1
12,24,1,1
13,24,1,1
14,24,1,1
15,24,1,1
16,24,1,1
17,24,1,1
18,24,1,1
19,24,1,1
20,24,1,1
21,24,1,1
22,24,1,1
23,24,1,1
24,24,1,1
25,24,1,1
26,24,1,1
27,24,1,1
28,24,1,1
29,24,1,1
30,24,1,1
31,24,1,1
32,24,1,1
33,24,1,1
34,24,1,1
35,24,1,1
36,24,1,1
37,24,1,1
38,24,1,1
39,24,1,1
40,24,1,1
41,24,1,1
42,24,1,1
43,24,1,1
44,24,1,1
45,24,1,1
46,24,1,1
47,24,1,1
48,24,1,1
49,24,1,1
50,24,1,1
51,24,1,1
52,24,1,1
53,24,1,1
54,24,1,1
55,24,1,1
56,24,1,1
57,24,1,1
58,24,1,1
59,24,1,1
60,24,1,1
61,24,1,1
62,24,1,1
63,24,1,1
64,24,1,1
65,24,1,1
66,24,1,1
67,24,1,1
68,24,1,1
69,24,1,1
70,24,1,1
71,24,1,1
72,24,1,1
73,24,1,1
74,24,1,1
75,24,1,1
76,24,1,1
77,24,1,1
78,24,1,1
79,24,1,1
80,24,1,1
81,24,1,1
82,24,1,1
83,24,1,1
84,24,1,1
85,24,1,1
86,24,1,1
87,24,1,1
88,24,1,1
89,24,1,1
90,24,1,1
91,24,1,1
92,24,1,1
93,24,1,1
94,24,1,1
95,24,1,1
96,24,1,1
97,24,1,1
98,24,1,1
99,24,1,1
100,24,1,1
101,24,1,1
102,24,1,1
103,24,1,1
104,24,1,1
105,24,1,1
106,24,1,1
107,24,1,1
108,24,1,1
109,24,1,1
110,24,1,1
111,24,1,2
112,24,1,2
113,24,1,2
114,24,1,2
115,24,1,2
116,24,1,2
117,24,1,2
118,24,1,2
119,24,1,2
120,24,1,2
121,24,1,2
122,24,1,2
123,24,1,2
124,24,1,2
125,24,1,2
126,24,1,2
127,24,1,2
128,24,1,2
129,24,1,2
130,24,1,2
131,24,1,2
132,24,1,2
133,24,1,2
134,24,1,2
135,24,1,2
136,24,1,2
137,24,1,2
138,24,1,2
139,24,1,2
140,24,1,2
141,24,1,2
142,24,1,2
143,24,1,2
144,24,1,2
145,24,1,2
146,24,1,2
147,24,1,2
148,24,1,2
149,24,1,2
150,24,1,2
151,24,1,2
152,24,1,2
153,24,1,2
154,24,1,2
155,24,1,2
156,24,1,2
157,24,1,2
158,24,1,2
159,24,1,2
160,24,1,2
161,24,1,3
162,24,1,3
163,24,1,3
164,24,1,3
165,24,1,3
166,24,1,3
167,24,1,3
168,24,1,3
169,24,1,3
170,24,1,3
171,24,1,3
172,24,1,3
173,24,1,3
174,24,1,3
175,24,1,3
176,24,1,3
177,24,1,3
178,24,1,3
179,24,1,3
180,24,1,3
181,24,1,3
182,24,1,3
183,24,1,3
184,24,1,3
185,24,1,3
186,24,1,3
187,24,1,4
188,24,1,4
189,24,1,4
190,24,1,4
191,24,1,4
192,24,1,4
193,24,1,4
194,24,1,4
195,24,1,4
196,24,1,4
197,24,1,4
198,24,1,4
199,24,1,4
200,24,1,4
201,24,1,4
202,24,1,4
203,24,1,4
204,24,1,4
205,24,1,4
206,24,1,4
207,24,1,4
208,24,1,4
209,24,1,4
210,24,1,4
211,24,1,4
212,24,1,4
213,24,1,4
214,24,1,4
215,24,1,4
216,24,1,4
217,24,1,4
218,24,1,4
219,24,1,4
220,24,1,4
221,24,1,4
222,24,1,4
223,24,1,5
224,24,1,5
225,24,1,5
226,24,1,5
227,24,1,5
228,24,1,5
229,24,1,5
230,24,1,5
231,24,1,5
232,24,1,5
233,24,1,5
234,24,1,5
235,24,1,5
236,24,1,5
237,24,1,5
238,24,1,5
239,24,1,5
240,24,1,5
241,24,1,5
242,24,1,5
243,24,1,5
244,24,1,5
245,24,1,5
246,24,1,5
247,24,1,5
248,24,1,5
249,24,1,5
