posicion,libro,capitulo,versiculo
0,12,1,1
1,12,1,1
2,12,1,1
3,12,1,1
4,12,1,1
5,12,1,1
6,12,1,1
7,12,1,1
8,12,1,1
9,12,1,1
10,12,1,1
11,12,1,1
12,12,1,1
13,12,1,1
14,12,1,1
15,12,1,1
16,12,1,1
17,12,1,1
18,12,1,1
19,12,1,1
20,12,1,1
21,12,1,1
22,12,1,1
23,12,1,1
24,12,1,1
25,12,1,1
26,12,1,1
27,12,1,1
28,12,1,1
29,12,1,1
30,12,1,1
31,12,1,1
32,12,1,1
33,12,1,1
34,12,1,1
35,12,1,1
36,12,1,1
37,12,1,1
38,12,1,1
39,12,1,1
40,12,1,1
41,12,1,1
42,12,1,1
43,12,1,1
44,12,1,1
45,12,1,1
46,12,1,1
47,12,1,1
48,12,1,1
49,12,1,1
50,12,1,1
51,12,1,1
52,12,1,1
53,12,1,1
54,12,1,1
55,12,1,1
56,12,1,1
57,12,1,1
58,12,1,1
59,12,1,1
60,12,1,1
61,12,1,1
62,12,1,1
63,12,1,1
64,12,1,1
65,12,1,1
66,12,1,1
67,12,1,1
68,12,1,2
69,12,1,2
70,12,1,2
71,12,1,2
72,12,1,2
73,12,1,2
74,12,1,2
75,12,1,2
76,12,1,2
77,12,1,2
78,12,1,2
79,12,1,2
80,12,1,2
81,12,1,2
82,12,1,2
83,12,1,2
84,12,1,2
85,12,1,2
86,12,1,2
87,12,1,2
88,12,1,2
89,12,1,2
90,12,1,2
91,12,1,2
92,12,1,2
93,12,1,2
94,12,1,2
95,12,1,2
96,12,1,2
97,12,1,2
98,12,1,2
99,12,1,2
100,12,1,2
101,12,1,2
102,12,1,2
103,12,1,2
104,12,1,2
105,12,1,2
106,12,1,2
107,12,1,2
108,12,1,2
109,12,1,2
110,12,1,2
111,12,1,2
112,12,1,2
113,12,1,2
114,12,1,2
115,12,1,2
116,12,1,2
117,12,1,2
118,12,1,2
119,12,1,2
120,12,1,3
121,12,1,3
122,12,1,3
123,12,1,3
124,12,1,3
125,12,1,3
126,12,1,3
127,12,1,3
128,12,1,3
129,12,1,3
130,12,1,3
131,12,1,3
132,12,1,3
133,12,1,3
134,12,1,3
135,12,1,3
136,12,1,3
137,12,1,3
138,12,1,3
139,12,1,3
140,12,1,3
141,12,1,3
142,12,1,3
143,12,1,3
144,12,1,3
145,12,1,3
146,12,1,3
147,12,1,3
148,12,1,3
149,12,1,3
150,12,1,3
151,12,1,3
152,12,1,3
153,12,1,3
154,12,1,3
155,12,1,3
156,12,1,3
157,12,1,3
158,12,1,3
159,12,1,3
160,12,1,3
161,12,1,3
162,12,1,3
163,12,1,3
164,12,1,3
165,12,1,4
166,12,1,4
167,12,1,4
168,12,1,4
169,12,1,4
170,12,1,4
171,12,1,4
172,12,1,4
173,12,1,4
174,12,1,4
175,12,1,4
176,12,1,4
177,12,1,4
178,12,1,4
179,12,1,4
180,12,1,4
181,12,1,4
182,12,1,4
183,12,1,4
184,12,1,4
185,12,1,4
186,12,1,4
187,12,1,4
188,12,1,4
189,12,1,4
190,12,1,4
191,12,1,4
192,12,1,4
193,12,1,4
194,12,1,4
195,12,1,4
196,12,1,4
197,12,1,4
198,12,1,4
199,12,1,4
200,12,1,4
201,12,1,4
202,12,1,4
203,12,1,4
204,12,1,4
205,12,1,4
206,12,1,4
207,12,1,4
208,12,1,4
209,12,1,4
210,12,1,4
211,12,1,4
212,12,1,4
213,12,1,4
214,12,1,4
215,12,1,4
216,12,1,4
217,12,1,4
218,12,1,4
219,12,1,4
220,12,1,4
221,12,1,4
222,12,1,4
223,12,1,4
224,12,1,4
225,12,1,4
226,12,1,4
227,12,1,4
228,12,1,4
229,12,1,4
230,12,1,4
231,12,1,4
232,12,1,4
233,12,1,4
234,12,1,5
235,12,1,5
236,12,1,5
237,12,1,5
238,12,1,5
239,12,1,5
240,12,1,5
241,12,1,5
242,12,1,5
243,12,1,5
244,12,1,5
245,12,1,5
246,12,1,5
247,12,1,5
248,12,1,5
249,12,1,5
250,12,1,5
251,12,1,5
252,12,1,5
253,12,1,5
254,12,1,5
255,12,1,5
256,12,1,5
257,12,1,5
258,12,1,5
259,12,1,5
260,12,1,5
261,12,1,5
262,12,1,5
263,12,1,5
264,12,1,5
265,12,1,5
266,12,1,5
267,12,1,5
268,12,1,5
269,12,1,5
270,12,1,5
271,12,1,6
272,12,1,6
273,12,1,6
274,12,1,6
275,12,1,6
276,12,1,6
277,12,1,6
278,12,1,6
279,12,1,6
280,12,1,6
281,12,1,6
282,12,1,6
283,12,1,6
284,12,1,6
285,12,1,6
286,12,1,6
287,12,1,6
288,12,1,6
289,12,1,6
290,12,1,6
291,12,1,6
292,12,1,6
293,12,1,6
294,12,1,6
295,12,1,6
296,12,1,6
297,12,1,6
298,12,1,6
299,12,1,6
300,12,1,6
301,12,1,6
302,12,1,6
303,12,1,6
304,12,1,6
305,12,1,6
306,12,1,6
307,12,1,6
308,12,1,6
309,12,1,6
310,12,1,6
311,12,1,6
312,12,1,6
313,12,1,6
314,12,1,6
315,12,1,6
316,12,1,6
317,12,1,6
318,12,1,6
319,12,1,6
320,12,1,6
321,12,1,6
322,12,1,6
323,12,1,6
324,12,1,6
325,12,1,6
326,12,1,6
327,12,1,6
328,12,1,6
329,12,1,6
330,12,1,6
331,12,1,7
332,12,1,7
333,12,1,7
334,12,1,7
335,12,1,7
336,12,1,7
337,12,1,7
338,12,1,7
339,12,1,7
340,12,1,7
341,12,1,7
342,12,1,7
343,12,1,7
344,12,1,7
345,12,1,7
346,12,1,7
347,12,1,7
348,12,1,7
349,12,1,7
350,12,1,7
351,12,1,7
352,12,1,7
353,12,1,7
354,12,1,7
355,12,1,7
356,12,1,7
357,12,1,7
358,12,1,7
359,12,1,7
360,12,1,7
361,12,1,7
362,12,1,7
363,12,1,7
364,12,1,7
365,12,1,7
366,12,1,7
367,12,1,7
368,12,1,7
369,12,1,7
370,12,1,7
371,12,1,7
372,12,1,7
373,12,1,7
374,12,1,7
375,12,1,7
376,12,1,7
377,12,1,7
378,12,1,7
379,12,1,7
380,12,1,7
381,12,1,7
382,12,1,7
383,12,1,7
384,12,1,7
385,12,1,7
386,12,1,7
387,12,1,7
388,12,1,7
389,12,1,7
390,12,1,7
391,12,1,8
392,12,1,8
393,12,1,8
394,12,1,8
395,12,1,8
396,12,1,8
397,12,1,8
398,12,1,8
399,12,1,8
400,12,1,8
401,12,1,8
402,12,1,8
403,12,1,8
404,12,1,8
405,12,1,8
406,12,1,8
407,12,1,8
408,12,1,8
409,12,1,8
410,12,1,8
411,12,1,8
412,12,1,8
413,12,1,8
414,12,1,8
415,12,1,8
416,12,1,8
417,12,1,8
418,12,1,8
419,12,1,8
420,12,1,8
421,12,1,8
422,12,1,8
423,12,1,8
424,12,1,8
425,12,1,8
426,12,1,8
427,12,1,8
428,12,1,8
429,12,1,8
430,12,1,8
431,12,1,9
432,12,1,9
433,12,1,9
434,12,1,9
435,12,1,9
436,12,1,9
437,12,1,9
438,12,1,9
439,12,1,9
440,12,1,9
441,12,1,9
442,12,1,9
443,12,1,9
444,12,1,9
445,12,1,9
446,12,1,9
447,12,1,9
448,12,1,9
449,12,1,9
450,12,1,9
451,12,1,9
452,12,1,9
453,12,1,9
454,12,1,9
455,12,1,9
456,12,1,9
457,12,1,9
458,12,1,9
459,12,1,9
460,12,1,9
461,12,1,9
462,12,1,9
463,12,1,9
464,12,1,9
465,12,1,9
466,12,1,9
467,12,1,9
468,12,1,9
469,12,1,9
470,12,1,9
471,12,1,9
472,12,1,9
473,12,1,9
474,12,1,9
475,12,1,9
476,12,1,9
477,12,1,9
478,12,1,9
479,12,1,9
480,12,1,10
481,12,1,10
482,12,1,10
483,12,1,10
484,12,1,10
485,12,1,10
486,12,1,10
487,12,1,10
488,12,1,10
489,12,1,10
490,12,1,10
491,12,1,10
492,12,1,10
493,12,1,10
494,12,1,10
495,12,1,10
496,12,1,10
497,12,1,10
498,12,1,10
499,12,1,10
500,12,1,10
501,12,1,10
502,12,1,10
503,12,1,10
504,12,1,10
505,12,1,10
506,12,1,10
507,12,1,10
508,12,1,10
509,12,1,10
510,12,1,10
511,12,1,10
512,12,1,10
513,12,1,10
514,12,1,10
515,12,1,10
516,12,1,10
517,12,1,10
518,12,1,10
519,12,1,10
520,12,1,10
521,12,1,11
522,12,1,11
523,12,1,11
524,12,1,11
525,12,1,11
526,12,1,11
527,12,1,11
528,12,1,11
529,12,1,11
530,12,1,11
531,12,1,11
532,12,1,11
533,12,1,11
534,12,1,11
535,12,1,11
536,12,1,11
537,12,1,11
538,12,1,11
539,12,1,11
540,12,1,11
541,12,1,11
542,12,1,11
543,12,1,11
544,12,1,11
545,12,1,11
546,12,1,11
547,12,1,11
548,12,1,11
549,12,1,11
550,12,1,11
551,12,1,11
552,12,1,11
553,12,1,11
554,12,1,11
555,12,1,11
556,12,1,11
557,12,1,11
558,12,1,11
559,12,1,11
560,12,1,11
561,12,1,11
562,12,1,11
563,12,1,11
564,12,1,11
565,12,1,11
566,12,1,11
567,12,1,11
568,12,1,11
569,12,1,11
570,12,1,11
571,12,1,11
572,12,1,11
573,12,1,11
574,12,1,11
575,12,1,11
576,12,1,11
577,12,1,11
578,12,1,11
579,12,1,11
580,12,1,11
581,12,1,11
582,12,1,11
583,12,1,11
584,12,1,11
585,12,1,11
586,12,1,11
587,12,1,11
588,12,1,11
589,12,1,11
590,12,1,11
591,12,1,11
592,12,1,11
593,12,1,12
594,12,1,12
595,12,1,12
596,12,1,12
597,12,1,12
598,12,1,12
599,12,1,12
600,12,1,12
601,12,1,12
602,12,1,12
603,12,1,12
604,12,1,12
605,12,1,12
606,12,1,12
607,12,1,12
608,12,1,12
609,12,1,12
610,12,1,12
611,12,1,12
612,12,1,12
613,12,1,12
614,12,1,12
615,12,1,12
616,12,1,12
617,12,1,12
618,12,1,12
619,12,1,12
620,12,1,12
621,12,1,12
622,12,1,12
623,12,1,12
624,12,1,12
625,12,1,12
626,12,1,12
627,12,1,13
628,12,1,13
629,12,1,13
630,12,1,13
631,12,1,13
632,12,1,13
633,12,1,13
634,12,1,13
635,12,1,13
636,12,1,13
637,12,1,13
638,12,1,13
639,12,1,13
640,12,1,13
641,12,1,13
642,12,1,13
643,12,1,13
644,12,1,13
645,12,1,13
646,12,1,13
647,12,1,13
648,12,1,13
649,12,1,13
650,12,1,13
651,12,1,13
652,12,1,13
653,12,1,13
654,12,1,13
655,12,1,13
656,12,1,13
657,12,1,13
658,12,1,13
659,12,1,13
660,12,1,13
661,12,1,13
662,12,1,13
663,12,1,13
664,12,1,13
665,12,1,13
666,12,1,13
667,12,1,13
668,12,1,13
669,12,1,13
670,12,1,13
671,12,1,13
672,12,1,13
673,12,1,13
674,12,1,13
675,12,1,13
676,12,1,13
677,12,1,13
678,12,1,13
679,12,1,13
680,12,1,13
681,12,1,13
682,12,1,13
683,12,1,13
684,12,1,13
685,12,1,13
686,12,1,13
687,12,1,13
688,12,1,14
689,12,1,14
690,12,1,14
691,12,1,14
692,12,1,14
693,12,1,14
694,12,1,14
695,12,1,14
696,12,1,14
697,12,1,14
698,12,1,14
699,12,1,14
700,12,1,14
701,12,1,14
702,12,1,14
703,12,1,14
704,12,1,14
705,12,1,14
706,12,1,14
707,12,1,14
708,12,1,14
709,12,1,14
710,12,1,14
711,12,1,14
712,12,1,14
713,12,1,14
714,12,1,14
715,12,1,14
716,12,1,14
717,12,1,14
718,12,1,14
719,12,1,14
720,12,1,14
721,12,1,14
722,12,1,14
723,12,1,14
724,12,1,14
725,12,1,14
726,12,1,14
727,12,1,14
728,12,1,14
729,12,1,15
730,12,1,15
731,12,1,15
732,12,1,15
733,12,1,15
734,12,1,15
735,12,1,15
736,12,1,15
737,12,1,15
738,12,1,15
739,12,1,15
740,12,1,15
741,12,1,15
742,12,1,15
743,12,1,15
744,12,1,15
745,12,1,15
746,12,1,15
747,12,1,15
748,12,1,15
749,12,1,15
750,12,1,15
751,12,1,15
752,12,1,15
753,12,1,15
754,12,1,15
755,12,1,15
756,12,1,15
757,12,1,15
758,12,1,15
759,12,1,15
760,12,1,15
761,12,1,15
762,12,1,15
763,12,1,15
764,12,1,15
765,12,1,15
766,12,1,15
767,12,1,15
768,12,1,15
769,12,1,15
770,12,1,15
771,12,1,15
772,12,1,15
773,12,1,15
774,12,1,15
775,12,1,15
776,12,1,15
777,12,1,15
778,12,1,15
779,12,1,15
780,12,1,15
781,12,1,15
782,12,1,15
783,12,1,15
784,12,1,15
785,12,1,15
786,12,1,16
787,12,1,16
788,12,1,16
789,12,1,16
790,12,1,16
791,12,1,16
792,12,1,16
793,12,1,16
794,12,1,16
795,12,1,16
796,12,1,16
797,12,1,16
798,12,1,16
799,12,1,16
800,12,1,16
801,12,1,16
802,12,1,16
803,12,1,16
