posicion,libro,capitulo,versiculo
0,13,1,1
1,13,1,1
2,13,1,1
3,13,1,1
4,13,1,1
5,13,1,1
6,13,1,1
7,13,1,1
8,13,1,1
9,13,1,1
10,13,1,1
11,13,1,1
12,13,1,1
13,13,1,1
14,13,1,1
15,13,1,1
16,13,1,1
17,13,1,1
18,13,1,1
19,13,1,1
20,13,1,1
21,13,1,1
22,13,1,1
23,13,1,1
24,13,1,1
25,13,1,1
26,13,1,1
27,13,1,1
28,13,1,1
29,13,1,1
30,13,1,1
31,13,1,1
32,13,1,1
33,13,1,1
34,13,1,1
35,13,1,1
36,13,1,1
37,13,1,1
38,13,1,1
39,13,1,1
40,13,1,1
41,13,1,1
42,13,1,1
43,13,1,1
44,13,1,2
45,13,1,2
46,13,1,2
47,13,1,2
48,13,1,2
49,13,1,2
50,13,1,2
51,13,1,2
52,13,1,2
53,13,1,2
54,13,1,2
55,13,1,2
56,13,1,2
57,13,1,2
58,13,1,2
59,13,1,2
60,13,1,2
61,13,1,2
62,13,1,2
63,13,1,2
64,13,1,2
65,13,1,2
66,13,1,2
67,13,1,2
68,13,1,2
69,13,1,2
70,13,1,2
71,13,1,2
72,13,1,2
73,13,1,2
74,13,1,2
75,13,1,2
76,13,1,2
77,13,1,2
78,13,1,2
79,13,1,2
80,13,1,2
81,13,1,2
82,13,1,2
83,13,1,2
84,13,1,2
85,13,1,2
86,13,1,2
87,13,1,2
88,13,1,2
89,13,1,2
90,13,1,2
91,13,1,2
92,13,1,2
93,13,1,2
94,13,1,2
95,13,1,2
96,13,1,2
97,13,1,2
98,13,1,2
99,13,1,2
100,13,1,2
101,13,1,3
102,13,1,3
103,13,1,3
104,13,1,3
105,13,1,3
106,13,1,3
107,13,1,3
108,13,1,3
109,13,1,3
110,13,1,3
111,13,1,3
112,13,1,3
113,13,1,3
114,13,1,3
115,13,1,3
116,13,1,3
117,13,1,3
118,13,1,3
119,13,1,3
120,13,1,3
121,13,1,3
122,13,1,3
123,13,1,3
124,13,1,3
125,13,1,3
126,13,1,3
127,13,1,3
128,13,1,3
129,13,1,3
130,13,1,3
131,13,1,3
132,13,1,3
133,13,1,3
134,13,1,3
135,13,1,3
136,13,1,3
137,13,1,3
138,13,1,3
139,13,1,3
140,13,1,3
141,13,1,3
142,13,1,3
143,13,1,3
144,13,1,3
145,13,1,3
146,13,1,3
147,13,1,3
148,13,1,3
149,13,1,3
150,13,1,3
151,13,1,3
152,13,1,3
153,13,1,3
154,13,1,3
155,13,1,3
156,13,1,3
157,13,1,3
158,13,1,3
159,13,1,3
160,13,1,3
161,13,1,3
162,13,1,3
163,13,1,3
164,13,1,3
165,13,1,3
166,13,1,3
167,13,1,3
168,13,1,3
169,13,1,3
170,13,1,3
171,13,1,3
172,13,1,3
173,13,1,3
174,13,1,3
175,13,1,3
176,13,1,3
177,13,1,3
178,13,1,3
179,13,1,3
180,13,1,3
181,13,1,3
182,13,1,3
183,13,1,3
184,13,1,3
185,13,1,3
186,13,1,3
187,13,1,3
188,13,1,3
189,13,1,3
190,13,1,3
191,13,1,3
192,13,1,3
193,13,1,4
194,13,1,4
195,13,1,4
196,13,1,4
197,13,1,4
198,13,1,4
199,13,1,4
200,13,1,4
201,13,1,4
202,13,1,4
203,13,1,4
204,13,1,4
205,13,1,4
206,13,1,4
207,13,1,4
208,13,1,4
209,13,1,4
210,13,1,4
211,13,1,5
212,13,1,5
213,13,1,5
214,13,1,5
215,13,1,5
216,13,1,5
217,13,1,5
218,13,1,5
219,13,1,5
220,13,1,5
221,13,1,5
222,13,1,5
223,13,1,5
224,13,1,5
225,13,1,5
226,13,1,5
227,13,1,5
228,13,1,5
229,13,1,5
230,13,1,5
231,13,1,5
232,13,1,5
233,13,1,5
234,13,1,5
235,13,1,5
236,13,1,5
237,13,1,5
238,13,1,5
239,13,1,5
240,13,1,5
241,13,1,5
242,13,1,5
243,13,1,5
244,13,1,5
245,13,1,5
246,13,1,5
247,13,1,5
248,13,1,5
249,13,1,5
250,13,1,5
251,13,1,5
252,13,1,5
253,13,1,5
254,13,1,5
255,13,1,5
256,13,1,5
257,13,1,5
258,13,1,5
259,13,1,5
260,13,1,5
261,13,1,5
262,13,1,5
263,13,1,5
264,13,1,5
265,13,1,5
266,13,1,5
267,13,1,6
268,13,1,6
269,13,1,6
270,13,1,6
271,13,1,6
272,13,1,6
273,13,1,6
274,13,1,6
275,13,1,6
276,13,1,6
277,13,1,6
278,13,1,6
279,13,1,6
280,13,1,6
281,13,1,6
282,13,1,6
283,13,1,6
284,13,1,6
285,13,1,6
286,13,1,6
287,13,1,6
288,13,1,6
289,13,1,6
290,13,1,6
291,13,1,6
292,13,1,6
293,13,1,6
294,13,1,6
295,13,1,6
296,13,1,6
297,13,1,6
298,13,1,6
299,13,1,6
300,13,1,6
301,13,1,6
302,13,1,6
303,13,1,6
304,13,1,6
305,13,1,7
306,13,1,7
307,13,1,7
308,13,1,7
309,13,1,7
310,13,1,7
311,13,1,7
312,13,1,7
313,13,1,7
314,13,1,7
315,13,1,7
316,13,1,7
317,13,1,7
318,13,1,7
319,13,1,7
320,13,1,7
321,13,1,7
322,13,1,7
323,13,1,7
324,13,1,7
325,13,1,7
326,13,1,7
327,13,1,7
328,13,1,7
329,13,1,7
330,13,1,7
331,13,1,7
332,13,1,7
333,13,1,7
334,13,1,7
335,13,1,7
336,13,1,7
337,13,1,7
338,13,1,7
339,13,1,7
340,13,1,7
341,13,1,7
342,13,1,7
343,13,1,7
344,13,1,7
345,13,1,7
346,13,1,7
347,13,1,7
348,13,1,7
349,13,1,7
350,13,1,7
351,13,1,7
352,13,1,7
353,13,1,7
354,13,1,7
355,13,1,7
356,13,1,7
357,13,1,7
358,13,1,7
359,13,1,7
360,13,1,7
361,13,1,7
362,13,1,7
