posicion,libro,capitulo,versiculo
0,29,1,1
1,29,1,1
2,29,1,1
3,29,1,1
4,29,1,1
5,29,1,1
6,29,1,1
7,29,1,1
8,29,1,1
9,29,1,1
10,29,1,1
11,29,1,1
12,29,1,1
13,29,1,1
14,29,1,1
15,29,1,1
16,29,1,1
17,29,1,1
18,29,1,1
19,29,1,1
20,29,1,1
21,29,1,1
22,29,1,1
23,29,1,1
24,29,1,1
25,29,1,1
26,29,1,1
27,29,1,1
28,29,1,1
29,29,1,1
30,29,1,1
31,29,1,1
32,29,1,1
33,29,1,1
34,29,1,1
35,29,1,1
36,29,1,1
37,29,1,1
38,29,1,1
39,29,1,1
40,29,1,1
41,29,1,1
42,29,1,1
43,29,1,1
44,29,1,1
45,29,1,1
46,29,1,1
47,29,1,1
48,29,1,1
49,29,1,1
50,29,1,1
51,29,1,1
52,29,1,1
53,29,1,2
54,29,1,2
55,29,1,2
56,29,1,2
57,29,1,2
58,29,1,2
59,29,1,2
60,29,1,2
61,29,1,2
62,29,1,2
63,29,1,2
64,29,1,2
65,29,1,2
66,29,1,2
67,29,1,2
68,29,1,2
69,29,1,2
70,29,1,2
71,29,1,2
72,29,1,2
73,29,1,2
74,29,1,2
75,29,1,2
76,29,1,2
77,29,1,2
78,29,1,3
79,29,1,3
80,29,1,3
81,29,1,3
82,29,1,3
83,29,1,3
84,29,1,3
85,29,1,3
86,29,1,3
87,29,1,3
88,29,1,3
89,29,1,3
90,29,1,3
91,29,1,3
92,29,1,3
93,29,1,3
94,29,1,3
95,29,1,3
96,29,1,3
97,29,1,3
98,29,1,3
99,29,1,3
100,29,1,3
101,29,1,3
102,29,1,3
103,29,1,3
104,29,1,3
105,29,1,3
106,29,1,3
107,29,1,3
108,29,1,3
109,29,1,3
110,29,1,3
111,29,1,3
112,29,1,3
113,29,1,3
114,29,1,3
115,29,1,3
116,29,1,3
117,29,1,3
118,29,1,3
119,29,1,3
120,29,1,3
121,29,1,3
122,29,1,3
123,29,1,3
124,29,1,3
125,29,1,3
126,29,1,3
127,29,1,3
128,29,1,3
129,29,1,3
130,29,1,3
131,29,1,3
132,29,1,3
133,29,1,3
134,29,1,3
135,29,1,3
