posicion,libro,capitulo,versiculo
0,16,1,1
1,16,1,1
2,16,1,1
3,16,1,1
4,16,1,1
5,16,1,1
6,16,1,1
7,16,1,1
8,16,1,1
9,16,1,1
10,16,1,1
11,16,1,1
12,16,1,1
13,16,1,1
14,16,1,1
15,16,1,1
16,16,1,1
17,16,1,1
18,16,1,1
19,16,1,1
20,16,1,1
21,16,1,1
22,16,1,1
23,16,1,1
24,16,1,1
25,16,1,1
26,16,1,2
27,16,1,2
28,16,1,2
29,16,1,2
30,16,1,2
31,16,1,2
32,16,1,2
33,16,1,2
34,16,1,2
35,16,1,2
36,16,1,2
37,16,1,2
38,16,1,2
39,16,1,2
40,16,1,2
41,16,1,2
42,16,1,2
43,16,1,2
44,16,1,2
45,16,1,2
46,16,1,2
47,16,1,2
48,16,1,2
49,16,1,2
50,16,1,2
51,16,1,2
52,16,1,2
53,16,1,2
54,16,1,2
55,16,1,2
56,16,1,2
57,16,1,2
58,16,1,2
59,16,1,2
60,16,1,2
61,16,1,2
62,16,1,2
63,16,1,2
64,16,1,2
65,16,1,2
66,16,1,2
67,16,1,2
68,16,1,2
69,16,1,2
70,16,1,2
71,16,1,2
72,16,1,2
73,16,1,2
74,16,1,2
75,16,1,2
76,16,1,2
77,16,1,2
78,16,1,2
79,16,1,2
80,16,1,2
81,16,1,2
82,16,1,2
83,16,1,2
84,16,1,3
85,16,1,3
86,16,1,3
87,16,1,3
88,16,1,3
89,16,1,3
90,16,1,3
91,16,1,3
92,16,1,3
93,16,1,3
94,16,1,3
95,16,1,3
96,16,1,3
97,16,1,3
98,16,1,3
99,16,1,3
100,16,1,3
101,16,1,3
102,16,1,3
103,16,1,3
104,16,1,3
105,16,1,3
106,16,1,3
107,16,1,3
108,16,1,3
109,16,1,3
110,16,1,3
111,16,1,3
112,16,1,3
113,16,1,3
114,16,1,3
115,16,1,3
116,16,1,3
117,16,1,3
118,16,1,3
119,16,1,3
120,16,1,3
121,16,1,3
122,16,1,3
123,16,1,4
124,16,1,4
125,16,1,4
126,16,1,4
127,16,1,4
128,16,1,4
129,16,1,4
130,16,1,4
131,16,1,4
132,16,1,4
133,16,1,4
134,16,1,4
135,16,1,4
136,16,1,4
137,16,1,4
138,16,1,4
139,16,1,4
140,16,1,4
141,16,1,4
142,16,1,4
143,16,1,4
144,16,1,4
145,16,1,4
146,16,1,4
147,16,1,4
148,16,1,4
149,16,1,4
150,16,1,4
151,16,1,4
152,16,1,4
153,16,1,4
154,16,1,4
155,16,1,4
156,16,1,4
157,16,1,4
158,16,1,4
159,16,1,4
160,16,1,4
161,16,1,4
162,16,1,4
163,16,1,4
164,16,1,4
165,16,1,4
166,16,1,4
167,16,1,4
168,16,1,4
169,16,1,4
170,16,1,5
171,16,1,5
172,16,1,5
173,16,1,5
174,16,1,5
175,16,1,5
176,16,1,5
177,16,1,5
178,16,1,5
179,16,1,5
180,16,1,5
181,16,1,5
182,16,1,5
183,16,1,5
184,16,1,5
185,16,1,5
186,16,1,5
187,16,1,5
188,16,1,5
189,16,1,5
190,16,1,5
191,16,1,5
192,16,1,5
193,16,1,5
194,16,1,5
195,16,1,5
196,16,1,5
197,16,1,5
198,16,1,5
199,16,1,5
200,16,1,5
201,16,1,5
202,16,1,5
203,16,1,5
204,16,1,5
205,16,1,5
206,16,1,5
207,16,1,5
208,16,1,5
209,16,1,5
210,16,1,5
211,16,1,5
212,16,1,5
213,16,1,5
214,16,1,5
215,16,1,5
216,16,1,6
217,16,1,6
218,16,1,6
219,16,1,6
220,16,1,6
221,16,1,6
222,16,1,6
223,16,1,6
224,16,1,6
225,16,1,6
226,16,1,6
227,16,1,6
228,16,1,6
229,16,1,6
230,16,1,6
231,16,1,6
232,16,1,6
233,16,1,6
234,16,1,6
235,16,1,6
236,16,1,6
237,16,1,6
238,16,1,6
239,16,1,6
240,16,1,6
241,16,1,6
242,16,1,6
243,16,1,6
244,16,1,6
245,16,1,6
246,16,1,6
247,16,1,6
248,16,1,6
249,16,1,6
250,16,1,6
251,16,1,6
252,16,1,6
253,16,1,6
254,16,1,6
255,16,1,6
256,16,1,6
257,16,1,6
258,16,1,6
259,16,1,6
260,16,1,6
261,16,1,6
262,16,1,6
263,16,1,6
264,16,1,6
265,16,1,6
266,16,1,7
267,16,1,7
268,16,1,7
269,16,1,7
270,16,1,7
271,16,1,7
272,16,1,7
273,16,1,7
274,16,1,7
275,16,1,7
276,16,1,7
277,16,1,7
278,16,1,7
279,16,1,7
280,16,1,7
281,16,1,7
282,16,1,7
283,16,1,7
284,16,1,7
285,16,1,7
286,16,1,7
287,16,1,7
288,16,1,7
289,16,1,7
290,16,1,7
291,16,1,7
292,16,1,7
293,16,1,7
294,16,1,7
295,16,1,7
296,16,1,7
297,16,1,7
298,16,1,7
299,16,1,7
300,16,1,7
301,16,1,7
302,16,1,7
303,16,1,7
304,16,1,7
305,16,1,7
306,16,1,7
307,16,1,7
308,16,1,7
309,16,1,7
310,16,1,7
311,16,1,7
312,16,1,8
313,16,1,8
314,16,1,8
315,16,1,8
316,16,1,8
317,16,1,8
318,16,1,8
319,16,1,8
320,16,1,8
321,16,1,8
322,16,1,8
323,16,1,8
324,16,1,8
325,16,1,8
326,16,1,8
327,16,1,8
328,16,1,8
329,16,1,8
330,16,1,8
331,16,1,8
332,16,1,8
333,16,1,8
334,16,1,8
335,16,1,8
336,16,1,8
337,16,1,8
338,16,1,9
339,16,1,9
340,16,1,9
341,16,1,9
342,16,1,9
343,16,1,9
344,16,1,9
345,16,1,9
346,16,1,9
347,16,1,9
348,16,1,9
349,16,1,9
350,16,1,9
351,16,1,9
352,16,1,9
353,16,1,9
354,16,1,9
355,16,1,9
356,16,1,9
357,16,1,9
358,16,1,9
359,16,1,9
360,16,1,9
361,16,1,9
362,16,1,9
363,16,1,9
364,16,1,9
365,16,1,9
366,16,1,9
367,16,1,9
368,16,1,9
369,16,1,9
370,16,1,9
371,16,1,9
372,16,1,9
373,16,1,9
374,16,1,9
375,16,1,9
376,16,1,9
377,16,1,10
378,16,1,10
379,16,1,10
380,16,1,10
381,16,1,10
382,16,1,10
383,16,1,10
384,16,1,10
385,16,1,10
386,16,1,10
387,16,1,10
388,16,1,10
389,16,1,10
390,16,1,10
391,16,1,10
392,16,1,10
393,16,1,10
394,16,1,10
395,16,1,10
396,16,1,10
397,16,1,10
398,16,1,10
399,16,1,10
400,16,1,10
401,16,1,10
402,16,1,10
403,16,1,10
404,16,1,10
405,16,1,10
406,16,1,10
407,16,1,10
408,16,1,10
409,16,1,10
410,16,1,10
411,16,1,10
412,16,1,10
413,16,1,10
414,16,1,10
415,16,1,10
416,16,1,10
417,16,1,11
418,16,1,11
419,16,1,11
420,16,1,11
421,16,1,11
422,16,1,11
423,16,1,11
424,16,1,11
425,16,1,11
426,16,1,11
427,16,1,11
428,16,1,11
429,16,1,11
430,16,1,11
431,16,1,11
432,16,1,11
433,16,1,11
434,16,1,11
435,16,1,11
436,16,1,11
437,16,1,11
438,16,1,11
439,16,1,11
440,16,1,11
441,16,1,11
442,16,1,11
443,16,1,11
444,16,1,11
445,16,1,11
446,16,1,11
447,16,1,11
448,16,1,11
449,16,1,11
450,16,1,11
451,16,1,11
452,16,1,11
453,16,1,11
454,16,1,11
455,16,1,11
456,16,1,11
457,16,1,11
458,16,1,11
459,16,1,11
460,16,1,11
461,16,1,11
462,16,1,12
463,16,1,12
464,16,1,12
465,16,1,12
466,16,1,12
467,16,1,12
468,16,1,12
469,16,1,12
470,16,1,12
471,16,1,12
472,16,1,12
473,16,1,12
474,16,1,12
475,16,1,12
476,16,1,12
477,16,1,12
478,16,1,12
479,16,1,12
480,16,1,12
481,16,1,12
482,16,1,12
483,16,1,12
484,16,1,12
485,16,1,12
486,16,1,12
487,16,1,12
488,16,1,12
489,16,1,12
490,16,1,12
491,16,1,12
492,16,1,12
493,16,1,12
494,16,1,12
495,16,1,12
496,16,1,12
497,16,1,12
498,16,1,12
499,16,1,12
500,16,1,12
501,16,1,12
502,16,1,12
503,16,1,12
504,16,1,12
505,16,1,12
506,16,1,12
507,16,1,12
508,16,1,12
509,16,1,12
510,16,1,12
511,16,1,12
512,16,1,12
513,16,1,12
514,16,1,12
515,16,1,12
516,16,1,12
517,16,1,12
518,16,1,12
519,16,1,12
520,16,1,12
521,16,1,12
522,16,1,12
523,16,1,12
524,16,1,12
525,16,1,12
526,16,1,12
527,16,1,12
528,16,1,12
529,16,1,13
530,16,1,13
531,16,1,13
532,16,1,13
533,16,1,13
534,16,1,13
535,16,1,13
536,16,1,13
537,16,1,13
538,16,1,13
539,16,1,13
540,16,1,13
541,16,1,13
542,16,1,13
543,16,1,13
544,16,1,13
545,16,1,13
546,16,1,13
547,16,1,13
548,16,1,13
549,16,1,13
550,16,1,13
551,16,1,13
552,16,1,13
553,16,1,13
554,16,1,13
555,16,1,13
556,16,1,13
557,16,1,13
558,16,1,13
559,16,1,13
560,16,1,13
561,16,1,13
562,16,1,13
563,16,1,13
564,16,1,13
565,16,1,13
566,16,1,13
567,16,1,13
568,16,1,13
569,16,1,13
570,16,1,13
571,16,1,13
572,16,1,13
573,16,1,13
574,16,1,13
575,16,1,13
576,16,1,13
577,16,1,13
578,16,1,13
579,16,1,13
580,16,1,13
581,16,1,13
582,16,1,13
583,16,1,13
584,16,1,13
585,16,1,13
586,16,1,13
587,16,1,13
588,16,1,13
589,16,1,13
590,16,1,13
591,16,1,13
592,16,1,13
593,16,1,13
594,16,1,13
595,16,1,13
596,16,1,13
597,16,1,13
598,16,1,13
599,16,1,13
600,16,1,13
601,16,1,13
602,16,1,13
603,16,1,13
604,16,1,14
605,16,1,14
606,16,1,14
607,16,1,14
608,16,1,14
609,16,1,14
610,16,1,14
611,16,1,14
612,16,1,14
613,16,1,14
614,16,1,14
615,16,1,14
616,16,1,14
617,16,1,14
618,16,1,14
619,16,1,14
620,16,1,14
621,16,1,14
622,16,1,14
623,16,1,14
624,16,1,14
625,16,1,14
626,16,1,14
627,16,1,14
628,16,1,14
629,16,1,14
630,16,1,14
631,16,1,14
632,16,1,14
633,16,1,14
634,16,1,14
635,16,1,14
636,16,1,14
637,16,1,14
638,16,1,14
639,16,1,14
640,16,1,14
641,16,1,14
642,16,1,14
643,16,1,14
644,16,1,14
645,16,1,14
646,16,1,14
647,16,1,14
648,16,1,14
649,16,1,14
650,16,1,14
651,16,1,14
652,16,1,14
653,16,1,14
654,16,1,14
655,16,1,14
656,16,1,14
657,16,1,14
658,16,1,14
659,16,1,14
660,16,1,14
661,16,1,14
662,16,1,15
663,16,1,15
664,16,1,15
665,16,1,15
666,16,1,15
667,16,1,15
668,16,1,15
669,16,1,15
670,16,1,15
671,16,1,15
672,16,1,15
673,16,1,15
674,16,1,15
675,16,1,15
676,16,1,15
677,16,1,15
678,16,1,15
679,16,1,15
680,16,1,15
681,16,1,15
682,16,1,15
683,16,1,15
684,16,1,15
685,16,1,15
686,16,1,15
687,16,1,15
688,16,1,15
689,16,1,15
690,16,1,15
691,16,1,15
692,16,1,15
693,16,1,15
694,16,1,16
695,16,1,16
696,16,1,16
697,16,1,16
698,16,1,16
699,16,1,16
700,16,1,16
701,16,1,16
702,16,1,16
703,16,1,16
704,16,1,16
705,16,1,16
706,16,1,16
707,16,1,16
708,16,1,16
709,16,1,16
710,16,1,16
711,16,1,16
712,16,1,16
713,16,1,16
714,16,1,16
715,16,1,16
716,16,1,16
717,16,1,16
718,16,1,16
719,16,1,16
720,16,1,16
721,16,1,16
722,16,1,16
723,16,1,16
724,16,1,16
725,16,1,16
726,16,1,16
727,16,1,16
728,16,1,16
729,16,1,16
730,16,1,16
731,16,1,16
732,16,1,17
733,16,1,17
734,16,1,17
735,16,1,17
736,16,1,17
737,16,1,17
738,16,1,17
739,16,1,17
740,16,1,17
741,16,1,17
742,16,1,17
743,16,1,17
744,16,1,17
745,16,1,17
746,16,1,17
747,16,1,17
748,16,1,17
749,16,1,17
750,16,1,17
751,16,1,17
752,16,1,17
753,16,1,17
754,16,1,17
755,16,1,17
756,16,1,17
757,16,1,17
758,16,1,17
759,16,1,17
760,16,1,17
