posicion,libro,capitulo,versiculo
0,6,1,1
1,6,1,1
2,6,1,1
3,6,1,1
4,6,1,1
5,6,1,1
6,6,1,1
7,6,1,1
8,6,1,1
9,6,1,1
10,6,1,1
11,6,1,1
12,6,1,1
13,6,1,1
14,6,1,1
15,6,1,1
16,6,1,1
17,6,1,1
18,6,1,1
19,6,1,1
20,6,1,1
21,6,1,1
22,6,1,1
23,6,1,1
24,6,1,1
25,6,1,1
26,6,1,1
27,6,1,1
28,6,1,1
29,6,1,1
30,6,1,1
31,6,1,1
32,6,1,1
33,6,1,1
34,6,1,1
35,6,1,1
36,6,1,1
37,6,1,1
38,6,1,1
39,6,1,1
40,6,1,1
41,6,1,1
42,6,1,1
43,6,1,1
44,6,1,1
45,6,1,1
46,6,1,1
47,6,1,1
48,6,1,1
49,6,1,1
50,6,1,1
51,6,1,1
52,6,1,1
53,6,1,2
54,6,1,2
55,6,1,2
56,6,1,2
57,6,1,2
58,6,1,2
59,6,1,2
60,6,1,2
61,6,1,2
62,6,1,2
63,6,1,2
64,6,1,2
65,6,1,2
66,6,1,2
67,6,1,2
68,6,1,2
69,6,1,2
70,6,1,2
71,6,1,2
72,6,1,2
73,6,1,2
74,6,1,2
75,6,1,2
76,6,1,2
77,6,1,2
78,6,1,2
79,6,1,2
80,6,1,2
81,6,1,2
82,6,1,2
83,6,1,2
84,6,1,2
85,6,1,2
86,6,1,2
87,6,1,2
88,6,1,2
89,6,1,2
90,6,1,2
91,6,1,2
92,6,1,2
93,6,1,2
94,6,1,2
95,6,1,2
96,6,1,2
97,6,1,2
98,6,1,2
99,6,1,2
100,6,1,2
101,6,1,2
102,6,1,2
103,6,1,2
104,6,1,2
105,6,1,2
106,6,1,2
107,6,1,2
108,6,1,2
109,6,1,2
110,6,1,2
111,6,1,2
112,6,1,2
113,6,1,2
114,6,1,2
115,6,1,2
116,6,1,2
117,6,1,2
118,6,1,2
119,6,1,2
120,6,1,2
121,6,1,2
122,6,1,3
123,6,1,3
124,6,1,3
125,6,1,3
126,6,1,3
127,6,1,3
128,6,1,3
129,6,1,3
130,6,1,3
131,6,1,3
132,6,1,3
133,6,1,3
134,6,1,3
135,6,1,3
136,6,1,3
137,6,1,3
138,6,1,3
139,6,1,3
140,6,1,3
141,6,1,3
142,6,1,3
143,6,1,3
144,6,1,3
145,6,1,3
146,6,1,3
147,6,1,3
148,6,1,3
149,6,1,3
150,6,1,3
151,6,1,3
152,6,1,3
153,6,1,3
154,6,1,3
155,6,1,3
156,6,1,3
157,6,1,3
158,6,1,3
159,6,1,3
160,6,1,3
161,6,1,3
162,6,1,3
163,6,1,3
164,6,1,3
165,6,1,3
166,6,1,4
167,6,1,4
168,6,1,4
169,6,1,4
170,6,1,4
171,6,1,4
172,6,1,4
173,6,1,4
174,6,1,4
175,6,1,4
176,6,1,4
177,6,1,4
178,6,1,4
179,6,1,4
180,6,1,4
181,6,1,4
182,6,1,4
183,6,1,4
184,6,1,4
185,6,1,4
186,6,1,4
187,6,1,4
188,6,1,4
189,6,1,4
190,6,1,4
191,6,1,4
