posicion,libro,capitulo,versiculo
0,7,1,1
1,7,1,1
2,7,1,1
3,7,1,1
4,7,1,1
5,7,1,1
6,7,1,1
7,7,1,1
8,7,1,1
9,7,1,1
10,7,1,1
11,7,1,1
12,7,1,1
13,7,1,1
14,7,1,1
15,7,1,1
16,7,1,1
17,7,1,1
18,7,1,1
19,7,1,1
20,7,1,1
21,7,1,1
22,7,1,1
23,7,1,1
24,7,1,1
25,7,1,1
26,7,1,1
27,7,1,1
28,7,1,1
29,7,1,1
30,7,1,1
31,7,1,1
32,7,1,1
33,7,1,1
34,7,1,1
35,7,1,1
36,7,1,1
37,7,1,1
38,7,1,1
39,7,1,1
40,7,1,1
41,7,1,1
42,7,1,1
43,7,1,1
44,7,1,1
45,7,1,1
46,7,1,1
47,7,1,1
48,7,1,1
49,7,1,1
50,7,1,1
51,7,1,1
52,7,1,1
53,7,1,1
54,7,1,1
55,7,1,1
56,7,1,1
57,7,1,1
58,7,1,1
59,7,1,1
60,7,1,1
61,7,1,1
62,7,1,1
63,7,1,1
64,7,1,1
65,7,1,1
66,7,1,1
67,7,1,1
68,7,1,2
69,7,1,2
70,7,1,2
71,7,1,2
72,7,1,2
73,7,1,2
74,7,1,2
75,7,1,2
76,7,1,2
77,7,1,2
78,7,1,2
79,7,1,2
80,7,1,2
81,7,1,2
82,7,1,2
83,7,1,2
84,7,1,2
85,7,1,2
86,7,1,2
87,7,1,2
88,7,1,2
89,7,1,2
90,7,1,2
91,7,1,2
92,7,1,2
93,7,1,2
94,7,1,2
95,7,1,2
96,7,1,2
97,7,1,2
98,7,1,2
99,7,1,2
100,7,1,2
101,7,1,2
102,7,1,2
103,7,1,3
104,7,1,3
105,7,1,3
106,7,1,3
107,7,1,3
108,7,1,3
109,7,1,3
110,7,1,3
111,7,1,3
112,7,1,3
113,7,1,3
114,7,1,3
115,7,1,3
116,7,1,3
117,7,1,3
118,7,1,3
119,7,1,3
120,7,1,3
121,7,1,3
122,7,1,3
123,7,1,3
124,7,1,3
125,7,1,3
126,7,1,3
127,7,1,3
128,7,1,3
129,7,1,3
130,7,1,3
131,7,1,3
132,7,1,3
133,7,1,3
134,7,1,3
135,7,1,3
136,7,1,3
137,7,1,3
138,7,1,3
139,7,1,3
140,7,1,3
141,7,1,3
142,7,1,3
143,7,1,3
144,7,1,3
145,7,1,3
146,7,1,3
147,7,1,3
148,7,1,3
149,7,1,3
150,7,1,3
151,7,1,3
152,7,1,3
153,7,1,3
154,7,1,3
155,7,1,3
156,7,1,3
157,7,1,3
158,7,1,3
159,7,1,3
160,7,1,3
161,7,1,3
162,7,1,3
163,7,1,3
164,7,1,3
165,7,1,3
166,7,1,3
167,7,1,3
168,7,1,3
169,7,1,3
170,7,1,3
171,7,1,3
172,7,1,3
173,7,1,3
174,7,1,3
175,7,1,3
176,7,1,3
177,7,1,3
178,7,1,3
179,7,1,4
180,7,1,4
181,7,1,4
182,7,1,4
183,7,1,4
184,7,1,4
185,7,1,4
186,7,1,4
187,7,1,4
188,7,1,4
189,7,1,4
190,7,1,4
191,7,1,4
192,7,1,4
193,7,1,4
194,7,1,4
195,7,1,4
