posicion,libro,capitulo,versiculo
0,32,1,1
1,32,1,1
2,32,1,1
3,32,1,1
4,32,1,1
5,32,1,1
6,32,1,1
7,32,1,1
8,32,1,1
9,32,1,1
10,32,1,1
11,32,1,1
12,32,1,1
13,32,1,1
14,32,1,1
15,32,1,1
16,32,1,1
17,32,1,1
18,32,1,1
19,32,1,1
20,32,1,1
21,32,1,1
22,32,1,1
23,32,1,1
24,32,1,1
25,32,1,1
26,32,1,1
27,32,1,1
28,32,1,1
29,32,1,1
30,32,1,1
31,32,1,1
32,32,1,1
33,32,1,1
34,32,1,1
35,32,1,1
36,32,1,1
37,32,1,1
38,32,1,1
39,32,1,1
40,32,1,1
41,32,1,1
42,32,1,1
43,32,1,1
44,32,1,1
45,32,1,1
46,32,1,1
47,32,1,1
48,32,1,1
49,32,1,1
50,32,1,1
51,32,1,1
52,32,1,1
53,32,1,1
54,32,1,1
55,32,1,1
56,32,1,1
57,32,1,1
58,32,1,1
59,32,1,2
60,32,1,2
61,32,1,2
62,32,1,2
63,32,1,2
64,32,1,2
65,32,1,2
66,32,1,2
67,32,1,2
68,32,1,2
69,32,1,2
70,32,1,2
71,32,1,2
72,32,1,2
73,32,1,2
74,32,1,2
75,32,1,2
76,32,1,2
77,32,1,2
78,32,1,2
79,32,1,2
80,32,1,2
81,32,1,2
82,32,1,2
83,32,1,2
84,32,1,2
85,32,1,2
86,32,1,2
87,32,1,2
88,32,1,2
89,32,1,2
90,32,1,2
91,32,1,2
92,32,1,2
93,32,1,2
94,32,1,2
95,32,1,2
96,32,1,2
97,32,1,2
98,32,1,2
99,32,1,2
100,32,1,2
101,32,1,2
102,32,1,2
103,32,1,2
104,32,1,2
105,32,1,2
106,32,1,2
107,32,1,2
108,32,1,2
109,32,1,2
110,32,1,2
111,32,1,2
112,32,1,2
113,32,1,2
114,32,1,2
115,32,1,2
116,32,1,2
117,32,1,2
118,32,1,2
119,32,1,2
120,32,1,2
121,32,1,2
122,32,1,2
123,32,1,2
124,32,1,3
125,32,1,3
126,32,1,3
127,32,1,3
128,32,1,3
129,32,1,3
130,32,1,3
131,32,1,3
132,32,1,3
133,32,1,3
134,32,1,3
135,32,1,3
136,32,1,3
137,32,1,3
138,32,1,3
139,32,1,3
140,32,1,3
141,32,1,3
142,32,1,3
143,32,1,3
144,32,1,3
145,32,1,3
146,32,1,3
147,32,1,3
148,32,1,3
149,32,1,3
150,32,1,3
151,32,1,3
152,32,1,3
153,32,1,3
154,32,1,3
155,32,1,3
156,32,1,3
157,32,1,3
158,32,1,3
159,32,1,3
160,32,1,3
161,32,1,3
162,32,1,3
163,32,1,3
164,32,1,3
165,32,1,3
166,32,1,3
167,32,1,3
168,32,1,3
169,32,1,3
170,32,1,3
171,32,1,3
172,32,1,3
173,32,1,3
174,32,1,3
175,32,1,3
176,32,1,3
177,32,1,3
178,32,1,3
179,32,1,3
180,32,1,3
181,32,1,3
182,32,1,3
183,32,1,3
184,32,1,3
185,32,1,3
186,32,1,3
187,32,1,3
188,32,1,3
189,32,1,3
190,32,1,4
191,32,1,4
192,32,1,4
193,32,1,4
194,32,1,4
195,32,1,4
196,32,1,4
197,32,1,4
198,32,1,4
199,32,1,4
200,32,1,4
201,32,1,4
202,32,1,4
203,32,1,4
204,32,1,4
205,32,1,4
206,32,1,4
207,32,1,4
208,32,1,4
209,32,1,4
210,32,1,4
211,32,1,4
212,32,1,4
213,32,1,4
214,32,1,4
215,32,1,4
216,32,1,4
217,32,1,4
218,32,1,4
219,32,1,4
220,32,1,4
221,32,1,4
222,32,1,4
223,32,1,4
224,32,1,4
225,32,1,4
226,32,1,4
227,32,1,4
228,32,1,4
229,32,1,4
230,32,1,4
