posicion,libro,capitulo,versiculo
0,26,1,1
1,26,1,1
2,26,1,1
3,26,1,1
4,26,1,1
5,26,1,1
6,26,1,1
7,26,1,1
8,26,1,1
9,26,1,1
10,26,1,1
11,26,1,1
12,26,1,1
13,26,1,1
14,26,1,1
15,26,1,1
16,26,1,1
17,26,1,1
18,26,1,1
19,26,1,1
20,26,1,1
21,26,1,1
22,26,1,1
23,26,1,1
24,26,1,1
25,26,1,2
26,26,1,2
27,26,1,2
28,26,1,2
29,26,1,2
30,26,1,2
31,26,1,2
32,26,1,2
33,26,1,2
34,26,1,2
35,26,1,2
36,26,1,2
37,26,1,2
38,26,1,2
39,26,1,2
40,26,1,2
41,26,1,2
42,26,1,2
43,26,1,2
44,26,1,2
45,26,1,2
46,26,1,2
47,26,1,2
48,26,1,2
49,26,1,2
50,26,1,2
51,26,1,2
52,26,1,2
53,26,1,2
54,26,1,2
55,26,1,2
56,26,1,2
57,26,1,2
58,26,1,2
59,26,1,2
60,26,1,2
61,26,1,2
62,26,1,2
63,26,1,2
64,26,1,2
65,26,1,2
66,26,1,2
67,26,1,2
68,26,1,2
69,26,1,2
70,26,1,2
71,26,1,2
72,26,1,2
73,26,1,2
74,26,1,2
75,26,1,2
76,26,1,2
77,26,1,2
78,26,1,2
79,26,1,2
80,26,1,2
81,26,1,2
82,26,1,2
83,26,1,2
84,26,1,2
85,26,1,2
86,26,1,2
87,26,1,3
88,26,1,3
89,26,1,3
90,26,1,3
91,26,1,3
92,26,1,3
93,26,1,3
94,26,1,3
95,26,1,3
96,26,1,3
97,26,1,3
98,26,1,3
99,26,1,3
100,26,1,3
101,26,1,3
102,26,1,3
103,26,1,3
104,26,1,3
105,26,1,3
106,26,1,3
107,26,1,3
108,26,1,3
109,26,1,3
110,26,1,3
111,26,1,3
112,26,1,3
113,26,1,3
114,26,1,3
115,26,1,3
116,26,1,3
117,26,1,3
118,26,1,3
119,26,1,3
120,26,1,3
121,26,1,3
122,26,1,3
123,26,1,3
124,26,1,3
125,26,1,3
126,26,1,3
127,26,1,3
128,26,1,3
129,26,1,3
130,26,1,4
131,26,1,4
132,26,1,4
133,26,1,4
134,26,1,4
135,26,1,4
136,26,1,4
137,26,1,4
138,26,1,4
139,26,1,4
140,26,1,4
141,26,1,4
142,26,1,4
143,26,1,4
144,26,1,4
145,26,1,4
146,26,1,4
147,26,1,4
148,26,1,4
149,26,1,4
150,26,1,4
151,26,1,4
152,26,1,4
153,26,1,4
154,26,1,4
155,26,1,4
156,26,1,4
157,26,1,4
158,26,1,4
159,26,1,4
160,26,1,4
161,26,1,4
162,26,1,4
163,26,1,4
164,26,1,4
165,26,1,4
166,26,1,4
167,26,1,4
168,26,1,4
169,26,1,4
170,26,1,4
171,26,1,4
172,26,1,4
173,26,1,4
174,26,1,4
175,26,1,4
176,26,1,4
177,26,1,4
178,26,1,4
179,26,1,4
180,26,1,4
181,26,1,4
182,26,1,4
183,26,1,4
184,26,1,4
185,26,1,4
186,26,1,4
187,26,1,4
188,26,1,4
189,26,1,4
190,26,1,4
191,26,1,4
192,26,1,4
193,26,1,4
194,26,1,4
195,26,1,4
196,26,1,4
197,26,1,4
198,26,1,4
199,26,1,4
200,26,1,4
201,26,1,4
202,26,1,4
203,26,1,4
204,26,1,4
205,26,1,4
206,26,1,4
207,26,1,4
208,26,1,4
209,26,1,4
210,26,1,4
211,26,1,4
212,26,1,4
213,26,1,4
214,26,1,4
215,26,1,4
216,26,1,4
217,26,1,4
218,26,1,4
219,26,1,4
220,26,1,4
221,26,1,4
222,26,1,4
223,26,1,4
224,26,1,4
225,26,1,4
226,26,1,5
227,26,1,5
228,26,1,5
229,26,1,5
230,26,1,5
231,26,1,5
232,26,1,5
233,26,1,5
234,26,1,5
235,26,1,5
236,26,1,5
237,26,1,5
238,26,1,5
239,26,1,5
240,26,1,5
241,26,1,5
242,26,1,5
243,26,1,5
244,26,1,5
245,26,1,5
246,26,1,5
247,26,1,5
248,26,1,5
249,26,1,5
250,26,1,5
251,26,1,5
252,26,1,5
253,26,1,5
254,26,1,5
255,26,1,5
256,26,1,5
257,26,1,5
258,26,1,5
259,26,1,5
260,26,1,5
261,26,1,5
262,26,1,5
263,26,1,5
264,26,1,5
265,26,1,5
266,26,1,5
267,26,1,5
268,26,1,5
269,26,1,6
270,26,1,6
271,26,1,6
272,26,1,6
273,26,1,6
274,26,1,6
275,26,1,6
276,26,1,6
277,26,1,6
278,26,1,6
279,26,1,6
280,26,1,6
281,26,1,6
282,26,1,6
283,26,1,6
284,26,1,6
285,26,1,6
286,26,1,6
287,26,1,6
288,26,1,6
289,26,1,6
290,26,1,6
291,26,1,6
292,26,1,6
293,26,1,6
294,26,1,6
295,26,1,6
296,26,1,6
297,26,1,6
298,26,1,6
299,26,1,6
300,26,1,6
301,26,1,6
302,26,1,6
303,26,1,6
304,26,1,6
305,26,1,6
306,26,1,6
307,26,1,6
308,26,1,6
309,26,1,6
310,26,1,6
311,26,1,6
312,26,1,6
313,26,1,6
314,26,1,6
315,26,1,6
316,26,1,6
317,26,1,6
318,26,1,6
319,26,1,6
320,26,1,6
321,26,1,6
322,26,1,6
323,26,1,6
324,26,1,6
325,26,1,6
326,26,1,6
327,26,1,6
328,26,1,6
329,26,1,6
330,26,1,6
331,26,1,6
332,26,1,6
333,26,1,6
334,26,1,6
335,26,1,6
336,26,1,6
337,26,1,6
338,26,1,6
339,26,1,6
340,26,1,6
341,26,1,6
342,26,1,6
343,26,1,6
344,26,1,6
345,26,1,6
346,26,1,6
347,26,1,6
348,26,1,6
349,26,1,6
350,26,1,6
351,26,1,6
352,26,1,6
353,26,1,6
354,26,1,6
355,26,1,6
356,26,1,6
357,26,1,6
358,26,1,6
359,26,1,6
360,26,1,6
361,26,1,6
362,26,1,6
363,26,1,6
364,26,1,6
365,26,1,6
366,26,1,6
367,26,1,6
368,26,1,6
369,26,1,7
370,26,1,7
371,26,1,7
372,26,1,7
373,26,1,7
374,26,1,7
375,26,1,7
376,26,1,7
377,26,1,7
378,26,1,7
379,26,1,7
380,26,1,7
381,26,1,7
382,26,1,7
383,26,1,7
384,26,1,7
385,26,1,7
386,26,1,7
387,26,1,7
388,26,1,7
389,26,1,7
390,26,1,7
391,26,1,7
392,26,1,7
393,26,1,7
394,26,1,7
395,26,1,7
396,26,1,7
397,26,1,7
398,26,1,7
399,26,1,7
400,26,1,7
401,26,1,7
402,26,1,7
403,26,1,7
404,26,1,7
405,26,1,7
406,26,1,7
407,26,1,7
408,26,1,7
409,26,1,7
410,26,1,7
411,26,1,7
412,26,1,7
413,26,1,7
414,26,1,7
415,26,1,7
416,26,1,7
417,26,1,7
418,26,1,7
419,26,1,7
420,26,1,7
421,26,1,7
422,26,1,7
423,26,1,7
424,26,1,7
425,26,1,8
426,26,1,8
