posicion,libro,capitulo,versiculo
0,21,1,1
1,21,1,1
2,21,1,1
3,21,1,1
4,21,1,1
5,21,1,1
6,21,1,1
7,21,1,1
8,21,1,1
9,21,1,1
10,21,1,1
11,21,1,1
12,21,1,1
13,21,1,1
14,21,1,1
15,21,1,1
16,21,1,1
17,21,1,1
18,21,1,1
19,21,1,1
20,21,1,1
21,21,1,1
22,21,1,1
23,21,1,1
24,21,1,1
25,21,1,2
26,21,1,2
27,21,1,2
28,21,1,2
29,21,1,2
30,21,1,2
31,21,1,2
32,21,1,2
33,21,1,2
34,21,1,2
35,21,1,2
36,21,1,2
37,21,1,2
38,21,1,2
39,21,1,2
40,21,1,2
41,21,1,2
42,21,1,2
43,21,1,2
44,21,1,2
45,21,1,2
46,21,1,2
47,21,1,2
48,21,1,2
49,21,1,2
50,21,1,2
51,21,1,2
52,21,1,2
53,21,1,2
54,21,1,2
55,21,1,2
56,21,1,2
57,21,1,2
58,21,1,2
59,21,1,2
60,21,1,2
61,21,1,2
62,21,1,2
63,21,1,2
64,21,1,2
65,21,1,2
66,21,1,2
67,21,1,2
68,21,1,2
69,21,1,2
70,21,1,2
71,21,1,2
72,21,1,2
73,21,1,2
74,21,1,2
75,21,1,2
76,21,1,2
77,21,1,2
78,21,1,2
79,21,1,3
80,21,1,3
81,21,1,3
82,21,1,3
83,21,1,3
84,21,1,3
85,21,1,3
86,21,1,3
87,21,1,3
88,21,1,3
89,21,1,3
90,21,1,3
91,21,1,3
92,21,1,3
93,21,1,3
94,21,1,3
95,21,1,3
96,21,1,3
97,21,1,3
98,21,1,3
99,21,1,3
100,21,1,3
101,21,1,3
102,21,1,3
103,21,1,3
104,21,1,3
105,21,1,3
106,21,1,3
107,21,1,3
108,21,1,3
109,21,1,3
110,21,1,3
111,21,1,3
112,21,1,3
113,21,1,3
114,21,1,3
115,21,1,3
116,21,1,3
117,21,1,3
118,21,1,3
119,21,1,3
120,21,1,3
121,21,1,3
122,21,1,3
123,21,1,3
124,21,1,3
125,21,1,3
126,21,1,3
127,21,1,3
128,21,1,3
129,21,1,3
130,21,1,3
131,21,1,3
132,21,1,3
133,21,1,3
134,21,1,3
135,21,1,3
136,21,1,3
137,21,1,3
138,21,1,3
139,21,1,3
140,21,1,3
141,21,1,3
142,21,1,4
143,21,1,4
144,21,1,4
145,21,1,4
146,21,1,4
147,21,1,4
148,21,1,4
149,21,1,4
150,21,1,4
151,21,1,4
152,21,1,4
153,21,1,4
154,21,1,4
155,21,1,4
156,21,1,4
157,21,1,4
158,21,1,4
159,21,1,4
160,21,1,4
161,21,1,4
162,21,1,4
163,21,1,4
164,21,1,4
165,21,1,4
166,21,1,4
167,21,1,4
168,21,1,4
169,21,1,4
170,21,1,4
171,21,1,4
172,21,1,4
173,21,1,4
174,21,1,4
175,21,1,4
176,21,1,4
177,21,1,4
178,21,1,4
179,21,1,4
180,21,1,4
181,21,1,4
182,21,1,4
183,21,1,4
184,21,1,4
185,21,1,4
186,21,1,4
187,21,1,4
188,21,1,4
189,21,1,4
190,21,1,4
191,21,1,4
192,21,1,4
193,21,1,4
194,21,1,5
195,21,1,5
196,21,1,5
197,21,1,5
198,21,1,5
199,21,1,5
200,21,1,5
201,21,1,5
202,21,1,5
203,21,1,5
204,21,1,5
205,21,1,5
206,21,1,5
207,21,1,5
208,21,1,5
209,21,1,5
210,21,1,5
211,21,1,5
212,21,1,5
213,21,1,5
214,21,1,5
215,21,1,5
216,21,1,5
217,21,1,5
218,21,1,5
219,21,1,5
220,21,1,5
221,21,1,5
222,21,1,5
223,21,1,5
224,21,1,5
225,21,1,5
226,21,1,5
227,21,1,5
228,21,1,5
229,21,1,5
230,21,1,5
231,21,1,5
232,21,1,5
233,21,1,5
234,21,1,5
235,21,1,5
236,21,1,5
237,21,1,5
238,21,1,5
239,21,1,5
240,21,1,5
241,21,1,5
242,21,1,5
243,21,1,5
244,21,1,5
245,21,1,6
246,21,1,6
247,21,1,6
248,21,1,6
249,21,1,6
250,21,1,6
251,21,1,6
252,21,1,6
253,21,1,6
254,21,1,6
255,21,1,6
256,21,1,6
257,21,1,6
258,21,1,6
259,21,1,6
260,21,1,6
261,21,1,6
262,21,1,6
263,21,1,6
264,21,1,6
265,21,1,6
266,21,1,6
267,21,1,6
268,21,1,6
269,21,1,6
270,21,1,6
271,21,1,6
272,21,1,6
273,21,1,6
274,21,1,6
275,21,1,6
276,21,1,6
277,21,1,6
278,21,1,6
279,21,1,6
280,21,1,6
281,21,1,6
282,21,1,6
283,21,1,6
284,21,1,6
285,21,1,6
286,21,1,6
287,21,1,6
288,21,1,6
289,21,1,6
290,21,1,6
291,21,1,6
292,21,1,6
293,21,1,6
294,21,1,6
295,21,1,6
296,21,1,6
297,21,1,6
298,21,1,6
299,21,1,6
300,21,1,7
301,21,1,7
302,21,1,7
303,21,1,7
304,21,1,7
305,21,1,7
306,21,1,7
307,21,1,7
308,21,1,7
309,21,1,7
310,21,1,7
311,21,1,7
312,21,1,7
313,21,1,7
314,21,1,7
315,21,1,7
316,21,1,7
317,21,1,7
318,21,1,7
319,21,1,7
320,21,1,7
321,21,1,7
322,21,1,7
323,21,1,7
324,21,1,7
325,21,1,7
326,21,1,7
327,21,1,7
328,21,1,8
329,21,1,8
330,21,1,8
331,21,1,8
332,21,1,8
333,21,1,8
334,21,1,8
335,21,1,8
336,21,1,8
337,21,1,8
338,21,1,8
339,21,1,8
340,21,1,8
341,21,1,8
342,21,1,8
343,21,1,8
344,21,1,8
345,21,1,8
346,21,1,8
347,21,1,8
348,21,1,8
349,21,1,8
350,21,1,8
351,21,1,8
352,21,1,8
353,21,1,8
354,21,1,8
355,21,1,8
356,21,1,8
357,21,1,8
358,21,1,8
359,21,1,8
360,21,1,8
