posicion,libro,capitulo,versiculo
0,37,1,1
1,37,1,1
2,37,1,1
3,37,1,1
4,37,1,1
5,37,1,1
6,37,1,1
7,37,1,1
8,37,1,1
9,37,1,1
10,37,1,1
11,37,1,1
12,37,1,1
13,37,1,1
14,37,1,1
15,37,1,1
16,37,1,1
17,37,1,1
18,37,1,1
19,37,1,1
20,37,1,1
21,37,1,1
22,37,1,1
23,37,1,1
24,37,1,1
25,37,1,1
26,37,1,1
27,37,1,1
28,37,1,1
29,37,1,1
30,37,1,1
31,37,1,1
32,37,1,1
33,37,1,1
34,37,1,1
35,37,1,1
36,37,1,1
37,37,1,1
38,37,1,1
39,37,1,1
40,37,1,1
41,37,1,1
42,37,1,1
43,37,1,1
44,37,1,1
45,37,1,1
46,37,1,1
47,37,1,1
48,37,1,1
49,37,1,1
50,37,1,1
51,37,1,1
52,37,1,1
53,37,1,1
54,37,1,1
55,37,1,1
56,37,1,1
57,37,1,1
58,37,1,1
59,37,1,1
60,37,1,2
61,37,1,2
62,37,1,2
63,37,1,2
64,37,1,2
65,37,1,2
66,37,1,2
67,37,1,2
68,37,1,2
69,37,1,2
70,37,1,2
71,37,1,2
72,37,1,2
73,37,1,2
74,37,1,2
75,37,1,2
76,37,1,2
77,37,1,2
78,37,1,2
79,37,1,2
80,37,1,2
81,37,1,2
82,37,1,2
83,37,1,2
84,37,1,2
85,37,1,2
86,37,1,2
87,37,1,2
88,37,1,2
89,37,1,2
90,37,1,2
91,37,1,2
92,37,1,2
93,37,1,2
94,37,1,2
95,37,1,2
96,37,1,2
97,37,1,2
98,37,1,2
99,37,1,2
100,37,1,2
101,37,1,2
102,37,1,2
103,37,1,2
104,37,1,2
105,37,1,2
106,37,1,2
107,37,1,2
108,37,1,2
109,37,1,2
110,37,1,2
111,37,1,2
112,37,1,2
113,37,1,2
114,37,1,2
115,37,1,2
116,37,1,2
117,37,1,2
118,37,1,2
119,37,1,2
120,37,1,2
121,37,1,2
122,37,1,2
123,37,1,2
124,37,1,2
125,37,1,2
126,37,1,2
127,37,1,2
128,37,1,2
129,37,1,2
130,37,1,2
131,37,1,2
132,37,1,2
133,37,1,2
134,37,1,3
135,37,1,3
136,37,1,3
137,37,1,3
138,37,1,3
139,37,1,3
140,37,1,3
141,37,1,3
142,37,1,3
143,37,1,3
144,37,1,3
145,37,1,3
146,37,1,3
147,37,1,3
148,37,1,3
149,37,1,3
150,37,1,3
151,37,1,3
152,37,1,3
153,37,1,3
154,37,1,3
155,37,1,3
156,37,1,3
157,37,1,3
158,37,1,3
159,37,1,3
160,37,1,3
161,37,1,3
162,37,1,3
163,37,1,3
164,37,1,3
165,37,1,3
166,37,1,3
167,37,1,3
168,37,1,3
169,37,1,3
170,37,1,3
171,37,1,3
172,37,1,3
173,37,1,3
174,37,1,3
175,37,1,3
176,37,1,3
177,37,1,3
178,37,1,3
179,37,1,3
180,37,1,3
181,37,1,3
182,37,1,3
183,37,1,3
184,37,1,3
185,37,1,3
186,37,1,3
187,37,1,3
188,37,1,3
189,37,1,3
190,37,1,3
191,37,1,3
192,37,1,3
193,37,1,3
194,37,1,3
195,37,1,3
196,37,1,3
197,37,1,3
198,37,1,3
199,37,1,3
200,37,1,3
201,37,1,3
202,37,1,3
203,37,1,3
204,37,1,3
205,37,1,3
206,37,1,3
207,37,1,3
208,37,1,3
209,37,1,3
210,37,1,3
211,37,1,3
212,37,1,3
213,37,1,3
214,37,1,4
215,37,1,4
216,37,1,4
217,37,1,4
218,37,1,4
219,37,1,4
220,37,1,4
221,37,1,4
222,37,1,4
223,37,1,4
224,37,1,4
225,37,1,4
226,37,1,4
227,37,1,4
228,37,1,4
229,37,1,4
230,37,1,4
231,37,1,4
232,37,1,4
233,37,1,4
234,37,1,4
235,37,1,4
236,37,1,4
237,37,1,4
238,37,1,4
239,37,1,4
240,37,1,4
241,37,1,4
242,37,1,4
243,37,1,4
244,37,1,4
245,37,1,4
246,37,1,4
247,37,1,4
248,37,1,4
249,37,1,4
250,37,1,4
251,37,1,4
252,37,1,4
253,37,1,4
254,37,1,4
255,37,1,4
256,37,1,4
257,37,1,4
258,37,1,4
259,37,1,4
260,37,1,4
261,37,1,4
262,37,1,4
263,37,1,4
264,37,1,4
265,37,1,4
266,37,1,4
267,37,1,4
268,37,1,4
269,37,1,4
270,37,1,4
271,37,1,4
272,37,1,4
273,37,1,4
274,37,1,4
275,37,1,4
276,37,1,4
277,37,1,4
278,37,1,4
279,37,1,4
280,37,1,4
281,37,1,5
282,37,1,5
