posicion,libro,capitulo,versiculo
0,15,1,1
1,15,1,1
2,15,1,1
3,15,1,1
4,15,1,1
5,15,1,1
6,15,1,1
7,15,1,1
8,15,1,1
9,15,1,1
10,15,1,1
11,15,1,1
12,15,1,1
13,15,1,1
14,15,1,1
15,15,1,1
16,15,1,1
17,15,1,1
18,15,1,1
19,15,1,1
20,15,1,1
21,15,1,1
22,15,1,1
23,15,1,1
24,15,1,1
25,15,1,1
26,15,1,1
27,15,1,1
28,15,1,1
29,15,1,1
30,15,1,1
31,15,1,1
32,15,1,1
33,15,1,1
34,15,1,1
35,15,1,1
36,15,1,1
37,15,1,1
38,15,1,1
39,15,1,1
40,15,1,1
41,15,1,1
42,15,1,1
43,15,1,1
44,15,1,1
45,15,1,1
46,15,1,1
47,15,1,1
48,15,1,1
49,15,1,1
50,15,1,1
51,15,1,1
52,15,1,1
53,15,1,1
54,15,1,1
55,15,1,1
56,15,1,1
57,15,1,1
58,15,1,1
59,15,1,1
60,15,1,1
61,15,1,1
62,15,1,1
63,15,1,1
64,15,1,1
65,15,1,1
66,15,1,1
67,15,1,1
68,15,1,1
69,15,1,1
70,15,1,1
71,15,1,1
72,15,1,1
73,15,1,1
74,15,1,1
75,15,1,1
76,15,1,1
77,15,1,1
78,15,1,1
79,15,1,2
80,15,1,2
81,15,1,2
82,15,1,2
83,15,1,2
84,15,1,2
85,15,1,2
86,15,1,2
87,15,1,2
88,15,1,2
89,15,1,2
90,15,1,2
91,15,1,2
92,15,1,2
93,15,1,2
94,15,1,2
95,15,1,2
96,15,1,2
97,15,1,2
98,15,1,2
99,15,1,2
100,15,1,2
101,15,1,2
102,15,1,2
103,15,1,2
104,15,1,2
105,15,1,2
106,15,1,2
107,15,1,2
108,15,1,2
109,15,1,2
110,15,1,2
111,15,1,2
112,15,1,2
113,15,1,2
114,15,1,2
115,15,1,2
116,15,1,2
117,15,1,2
118,15,1,2
119,15,1,2
120,15,1,2
121,15,1,2
122,15,1,2
123,15,1,2
124,15,1,2
125,15,1,2
126,15,1,2
127,15,1,2
128,15,1,2
129,15,1,2
130,15,1,2
131,15,1,2
132,15,1,2
133,15,1,2
134,15,1,2
135,15,1,2
136,15,1,2
137,15,1,2
138,15,1,2
139,15,1,2
140,15,1,2
141,15,1,2
142,15,1,2
143,15,1,2
144,15,1,2
145,15,1,2
146,15,1,2
147,15,1,2
148,15,1,2
149,15,1,2
150,15,1,2
151,15,1,2
152,15,1,2
153,15,1,2
154,15,1,2
155,15,1,2
156,15,1,2
157,15,1,2
158,15,1,2
159,15,1,3
160,15,1,3
161,15,1,3
162,15,1,3
163,15,1,3
164,15,1,3
165,15,1,3
166,15,1,3
167,15,1,3
168,15,1,3
169,15,1,3
170,15,1,3
171,15,1,3
172,15,1,3
173,15,1,3
174,15,1,3
175,15,1,3
176,15,1,3
177,15,1,3
178,15,1,3
179,15,1,3
180,15,1,3
181,15,1,3
182,15,1,3
183,15,1,3
184,15,1,3
185,15,1,3
186,15,1,3
187,15,1,3
188,15,1,3
189,15,1,3
190,15,1,3
191,15,1,4
192,15,1,4
193,15,1,4
194,15,1,4
195,15,1,4
196,15,1,4
197,15,1,4
198,15,1,4
199,15,1,4
200,15,1,4
201,15,1,4
202,15,1,4
203,15,1,4
204,15,1,4
205,15,1,4
206,15,1,4
207,15,1,4
208,15,1,4
209,15,1,4
210,15,1,4
211,15,1,4
212,15,1,4
213,15,1,4
214,15,1,4
215,15,1,4
216,15,1,4
217,15,1,4
218,15,1,4
219,15,1,4
220,15,1,4
221,15,1,4
222,15,1,4
223,15,1,4
224,15,1,4
225,15,1,4
226,15,1,4
227,15,1,4
228,15,1,4
229,15,1,4
230,15,1,4
231,15,1,4
232,15,1,4
233,15,1,4
234,15,1,4
235,15,1,4
236,15,1,4
237,15,1,4
238,15,1,4
239,15,1,4
240,15,1,4
241,15,1,4
242,15,1,4
243,15,1,4
244,15,1,4
245,15,1,4
246,15,1,4
247,15,1,4
248,15,1,4
249,15,1,4
250,15,1,4
251,15,1,4
252,15,1,4
253,15,1,4
254,15,1,4
255,15,1,4
256,15,1,4
257,15,1,4
258,15,1,4
259,15,1,4
260,15,1,4
261,15,1,4
262,15,1,4
263,15,1,4
264,15,1,4
265,15,1,4
266,15,1,4
267,15,1,4
268,15,1,4
269,15,1,4
270,15,1,5
271,15,1,5
272,15,1,5
273,15,1,5
274,15,1,5
275,15,1,5
276,15,1,5
277,15,1,5
278,15,1,5
279,15,1,5
280,15,1,5
281,15,1,5
282,15,1,5
283,15,1,5
284,15,1,5
285,15,1,5
286,15,1,5
287,15,1,5
288,15,1,5
289,15,1,5
290,15,1,5
291,15,1,5
292,15,1,5
293,15,1,5
294,15,1,5
295,15,1,5
296,15,1,5
297,15,1,5
298,15,1,5
299,15,1,5
300,15,1,5
301,15,1,5
302,15,1,5
303,15,1,5
304,15,1,5
305,15,1,5
306,15,1,5
307,15,1,5
308,15,1,6
309,15,1,6
310,15,1,6
311,15,1,6
312,15,1,6
313,15,1,6
314,15,1,6
315,15,1,6
316,15,1,6
317,15,1,6
