posicion,libro,capitulo,versiculo
0,28,1,1
1,28,1,1
2,28,1,1
3,28,1,1
4,28,1,1
5,28,1,1
6,28,1,1
7,28,1,1
8,28,1,1
9,28,1,1
10,28,1,1
11,28,1,1
12,28,1,1
13,28,1,1
14,28,1,1
15,28,1,1
16,28,1,1
17,28,1,1
18,28,1,1
19,28,1,1
20,28,1,1
21,28,1,2
22,28,1,2
23,28,1,2
24,28,1,2
25,28,1,2
26,28,1,2
27,28,1,2
28,28,1,2
29,28,1,2
30,28,1,2
31,28,1,2
32,28,1,2
33,28,1,2
34,28,1,2
35,28,1,2
36,28,1,2
37,28,1,2
38,28,1,2
39,28,1,2
40,28,1,2
41,28,1,2
42,28,1,2
43,28,1,2
44,28,1,2
45,28,1,2
46,28,1,2
47,28,1,3
48,28,1,3
49,28,1,3
50,28,1,3
51,28,1,3
52,28,1,3
53,28,1,3
54,28,1,3
55,28,1,3
56,28,1,3
57,28,1,3
58,28,1,3
59,28,1,3
60,28,1,3
61,28,1,3
62,28,1,3
63,28,1,3
64,28,1,3
65,28,1,3
66,28,1,3
67,28,1,3
68,28,1,3
69,28,1,3
70,28,1,3
71,28,1,3
72,28,1,3
73,28,1,3
74,28,1,4
75,28,1,4
76,28,1,4
77,28,1,4
78,28,1,4
79,28,1,4
80,28,1,4
81,28,1,4
82,28,1,4
83,28,1,4
84,28,1,4
85,28,1,4
86,28,1,4
87,28,1,4
88,28,1,4
89,28,1,4
90,28,1,4
91,28,1,4
92,28,1,4
93,28,1,4
94,28,1,4
95,28,1,4
96,28,1,4
97,28,1,4
98,28,1,4
99,28,1,5
100,28,1,5
101,28,1,5
102,28,1,5
103,28,1,5
104,28,1,5
105,28,1,5
106,28,1,5
107,28,1,5
108,28,1,5
109,28,1,5
110,28,1,5
111,28,1,5
112,28,1,5
113,28,1,5
114,28,1,5
115,28,1,5
116,28,1,5
117,28,1,5
118,28,1,5
119,28,1,5
120,28,1,5
121,28,1,5
122,28,1,5
123,28,1,5
124,28,1,5
125,28,1,5
126,28,1,5
127,28,1,5
128,28,1,5
129,28,1,6
130,28,1,6
131,28,1,6
132,28,1,6
133,28,1,6
134,28,1,6
135,28,1,6
136,28,1,6
137,28,1,6
138,28,1,6
139,28,1,6
140,28,1,6
141,28,1,6
142,28,1,6
143,28,1,6
144,28,1,6
145,28,1,6
146,28,1,6
147,28,1,6
148,28,1,6
149,28,1,6
150,28,1,6
151,28,1,6
152,28,1,6
153,28,1,6
154,28,1,6
155,28,1,6
156,28,1,6
157,28,1,6
158,28,1,7
159,28,1,7
160,28,1,7
161,28,1,7
162,28,1,7
163,28,1,7
164,28,1,7
165,28,1,7
166,28,1,7
167,28,1,7
168,28,1,7
169,28,1,7
170,28,1,7
171,28,1,7
172,28,1,7
173,28,1,7
174,28,1,7
175,28,1,7
176,28,1,7
177,28,1,7
178,28,1,7
179,28,1,7
180,28,1,7
181,28,1,7
182,28,1,7
183,28,1,7
184,28,1,7
185,28,1,7
186,28,1,7
187,28,1,7
188,28,1,7
189,28,1,7
190,28,1,7
191,28,1,7
192,28,1,7
193,28,1,8
194,28,1,8
195,28,1,8
196,28,1,8
197,28,1,8
198,28,1,8
199,28,1,8
200,28,1,8
201,28,1,8
202,28,1,8
203,28,1,8
204,28,1,8
205,28,1,8
206,28,1,8
207,28,1,8
208,28,1,8
209,28,1,8
210,28,1,8
211,28,1,8
212,28,1,8
213,28,1,8
214,28,1,8
215,28,1,8
216,28,1,8
217,28,1,8
218,28,1,8
219,28,1,8
220,28,1,9
221,28,1,9
222,28,1,9
223,28,1,9
224,28,1,9
225,28,1,9
226,28,1,9
227,28,1,9
228,28,1,9
229,28,1,9
230,28,1,9
231,28,1,9
232,28,1,9
233,28,1,9
234,28,1,9
235,28,1,9
236,28,1,9
237,28,1,9
238,28,1,9
239,28,1,9
240,28,1,9
241,28,1,9
242,28,1,9
243,28,1,9
244,28,1,9
245,28,1,9
246,28,1,9
247,28,1,9
248,28,1,9
249,28,1,10
250,28,1,10
251,28,1,10
252,28,1,10
253,28,1,10
254,28,1,10
255,28,1,10
256,28,1,10
257,28,1,10
258,28,1,10
259,28,1,10
260,28,1,10
261,28,1,10
262,28,1,10
263,28,1,10
264,28,1,10
265,28,1,10
266,28,1,10
267,28,1,10
268,28,1,10
269,28,1,11
270,28,1,11
271,28,1,11
272,28,1,11
273,28,1,11
274,28,1,11
275,28,1,11
276,28,1,11
277,28,1,11
278,28,1,11
279,28,1,11
280,28,1,11
281,28,1,11
282,28,1,11
283,28,1,11
284,28,1,11
285,28,1,11
286,28,1,11
287,28,1,11
288,28,1,11
289,28,1,11
290,28,1,11
291,28,1,11
292,28,1,11
293,28,1,11
294,28,1,11
295,28,1,11
296,28,1,11
297,28,1,11
298,28,1,11
299,28,1,11
300,28,1,11
301,28,1,11
302,28,1,11
303,28,1,12
304,28,1,12
305,28,1,12
306,28,1,12
307,28,1,12
308,28,1,12
309,28,1,12
310,28,1,12
311,28,1,12
312,28,1,12
313,28,1,12
314,28,1,12
315,28,1,12
316,28,1,12
317,28,1,12
318,28,1,12
319,28,1,12
320,28,1,12
321,28,1,12
322,28,1,12
323,28,1,12
324,28,1,12
325,28,1,12
326,28,1,12
327,28,1,12
328,28,1,12
329,28,1,12
330,28,1,12
331,28,1,12
332,28,1,12
333,28,1,13
334,28,1,13
335,28,1,13
336,28,1,13
337,28,1,13
338,28,1,13
339,28,1,13
340,28,1,13
341,28,1,13
342,28,1,13
343,28,1,13
344,28,1,13
345,28,1,13
346,28,1,13
347,28,1,13
348,28,1,13
349,28,1,13
350,28,1,13
351,28,1,13
352,28,1,13
353,28,1,13
354,28,1,13
355,28,1,13
356,28,1,13
357,28,1,14
358,28,1,14
359,28,1,14
360,28,1,14
361,28,1,14
362,28,1,14
363,28,1,14
364,28,1,14
365,28,1,14
