posicion,libro,capitulo,versiculo
0,23,1,1
1,23,1,1
2,23,1,1
3,23,1,1
4,23,1,1
5,23,1,1
6,23,1,1
7,23,1,1
8,23,1,1
9,23,1,1
10,23,1,1
11,23,1,1
12,23,1,1
13,23,1,1
14,23,1,1
15,23,1,1
16,23,1,1
17,23,1,1
18,23,1,1
19,23,1,1
20,23,1,1
21,23,1,1
22,23,1,1
23,23,1,1
24,23,1,1
25,23,1,1
26,23,1,1
27,23,1,1
28,23,1,1
29,23,1,1
30,23,1,1
31,23,1,1
32,23,1,1
33,23,1,1
34,23,1,1
35,23,1,1
36,23,1,1
37,23,1,1
38,23,1,1
39,23,1,1
40,23,1,1
41,23,1,1
42,23,1,1
43,23,1,1
44,23,1,1
45,23,1,1
46,23,1,1
47,23,1,1
48,23,1,1
49,23,1,1
50,23,1,1
51,23,1,1
52,23,1,1
53,23,1,1
54,23,1,1
55,23,1,1
56,23,1,1
57,23,1,1
58,23,1,1
59,23,1,1
60,23,1,1
61,23,1,1
62,23,1,1
63,23,1,1
64,23,1,1
65,23,1,1
66,23,1,1
67,23,1,1
68,23,1,1
69,23,1,1
70,23,1,1
71,23,1,2
72,23,1,2
73,23,1,2
74,23,1,2
75,23,1,2
76,23,1,2
77,23,1,2
78,23,1,2
79,23,1,2
80,23,1,2
81,23,1,2
82,23,1,2
83,23,1,2
84,23,1,2
85,23,1,2
86,23,1,2
87,23,1,2
88,23,1,2
89,23,1,2
90,23,1,2
91,23,1,2
92,23,1,2
93,23,1,2
94,23,1,2
95,23,1,2
96,23,1,2
97,23,1,3
98,23,1,3
99,23,1,3
100,23,1,3
101,23,1,3
102,23,1,3
103,23,1,3
104,23,1,3
105,23,1,3
106,23,1,3
107,23,1,3
108,23,1,3
109,23,1,3
110,23,1,3
111,23,1,3
112,23,1,3
113,23,1,3
114,23,1,3
115,23,1,3
116,23,1,3
117,23,1,3
118,23,1,3
119,23,1,3
120,23,1,3
121,23,1,3
122,23,1,3
123,23,1,3
124,23,1,3
125,23,1,3
126,23,1,3
127,23,1,3
128,23,1,3
129,23,1,3
130,23,1,3
131,23,1,3
132,23,1,3
133,23,1,3
134,23,1,3
135,23,1,3
136,23,1,3
137,23,1,3
138,23,1,3
139,23,1,3
140,23,1,3
141,23,1,3
142,23,1,3
143,23,1,3
144,23,1,3
145,23,1,3
146,23,1,3
147,23,1,3
148,23,1,3
149,23,1,3
150,23,1,3
151,23,1,3
152,23,1,3
153,23,1,3
154,23,1,3
155,23,1,3
156,23,1,3
157,23,1,3
158,23,1,3
159,23,1,3
160,23,1,3
161,23,1,3
162,23,1,3
163,23,1,3
164,23,1,3
165,23,1,3
166,23,1,3
167,23,1,3
168,23,1,3
169,23,1,3
170,23,1,3
171,23,1,3
172,23,1,4
173,23,1,4
174,23,1,4
175,23,1,4
176,23,1,4
177,23,1,4
178,23,1,4
179,23,1,4
180,23,1,4
181,23,1,4
182,23,1,4
183,23,1,4
184,23,1,4
185,23,1,4
186,23,1,4
187,23,1,4
188,23,1,4
189,23,1,4
190,23,1,4
191,23,1,4
192,23,1,4
193,23,1,4
194,23,1,4
195,23,1,4
196,23,1,4
197,23,1,4
198,23,1,4
199,23,1,4
200,23,1,4
201,23,1,4
202,23,1,4
203,23,1,4
204,23,1,4
205,23,1,4
206,23,1,4
207,23,1,4
208,23,1,4
209,23,1,4
210,23,1,4
211,23,1,4
212,23,1,4
213,23,1,4
214,23,1,4
215,23,1,4
216,23,1,4
217,23,1,4
218,23,1,4
219,23,1,4
220,23,1,4
221,23,1,4
222,23,1,4
223,23,1,4
224,23,1,4
225,23,1,4
226,23,1,4
227,23,1,4
228,23,1,4
229,23,1,4
230,23,1,4
231,23,1,4
232,23,1,4
233,23,1,4
234,23,1,4
235,23,1,4
236,23,1,4
237,23,1,4
238,23,1,4
239,23,1,4
240,23,1,4
241,23,1,4
242,23,1,4
243,23,1,4
244,23,1,4
245,23,1,4
246,23,1,4
247,23,1,5
248,23,1,5
249,23,1,5
250,23,1,5
251,23,1,5
252,23,1,5
253,23,1,5
254,23,1,5
255,23,1,5
256,23,1,5
257,23,1,5
258,23,1,5
259,23,1,5
260,23,1,5
261,23,1,5
262,23,1,5
263,23,1,5
264,23,1,5
265,23,1,5
266,23,1,5
267,23,1,5
268,23,1,5
269,23,1,5
270,23,1,5
271,23,1,5
272,23,1,5
273,23,1,5
274,23,1,5
275,23,1,5
276,23,1,5
277,23,1,5
278,23,1,5
279,23,1,5
280,23,1,5
281,23,1,5
282,23,1,5
283,23,1,5
284,23,1,5
285,23,1,5
286,23,1,5
287,23,1,5
288,23,1,5
289,23,1,5
290,23,1,5
291,23,1,5
292,23,1,5
293,23,1,5
294,23,1,5
295,23,1,5
296,23,1,5
297,23,1,5
298,23,1,5
299,23,1,5
300,23,1,5
301,23,1,5
302,23,1,5
303,23,1,5
304,23,1,5
305,23,1,5
306,23,1,5
307,23,1,5
308,23,1,5
309,23,1,5
310,23,1,6
311,23,1,6
312,23,1,6
313,23,1,6
314,23,1,6
315,23,1,6
316,23,1,6
317,23,1,6
318,23,1,6
319,23,1,6
320,23,1,6
321,23,1,6
322,23,1,6
323,23,1,6
324,23,1,6
325,23,1,6
326,23,1,6
327,23,1,6
328,23,1,6
329,23,1,6
330,23,1,6
331,23,1,6
332,23,1,6
333,23,1,6
334,23,1,6
335,23,1,6
336,23,1,6
337,23,1,6
338,23,1,6
339,23,1,6
340,23,1,6
341,23,1,6
342,23,1,6
343,23,1,6
344,23,1,6
345,23,1,6
346,23,1,6
347,23,1,6
348,23,1,6
349,23,1,6
350,23,1,6
351,23,1,6
352,23,1,6
353,23,1,7
354,23,1,7
355,23,1,7
356,23,1,7
357,23,1,7
358,23,1,7
359,23,1,7
360,23,1,7
361,23,1,7
362,23,1,7
363,23,1,7
364,23,1,7
365,23,1,7
366,23,1,7
367,23,1,7
368,23,1,7
369,23,1,7
370,23,1,7
371,23,1,7
372,23,1,7
373,23,1,7
