posicion,libro,capitulo,versiculo
0,1,1,1
28,1,1,2
80,1,1,3
103,1,1,4
148,1,1,5
197,1,1,6
241,1,1,7
295,1,1,7
306,1,1,8
345,1,1,9
397,1,1,10
446,1,1,11
501,1,1,11
515,1,1,12
572,1,1,12
582,1,1,13
604,1,1,14
661,1,1,14
680,1,1,15
717,1,1,16
775,1,1,16
796,1,1,17
829,1,1,18
880,1,1,19
902,1,1,20
954,1,1,20
959,1,1,21
1017,1,1,21
1048,1,1,22
1100,1,1,23
1122,1,1,24
1178,1,1,25
1233,1,1,25
1247,1,1,26
1305,1,1,26
1331,1,1,27
1381,1,1,28
1438,1,1,28
1469,1,1,29
1521,1,1,29
1552,1,1,30
1607,1,1,30
1621,1,1,31
1671,1,2,1
1693,1,2,2
1751,1,2,2
1754,1,2,3
1810,1,2,3
1815,1,2,4
1865,1,2,5
1921,1,2,5
1945,1,2,6
1975,1,2,7
2030,1,2,7
2037,1,2,8
2078,1,2,9
2136,1,2,9
2149,1,2,10
2194,1,2,11
2234,1,2,12
2264,1,2,13
2298,1,2,14
2347,1,2,15
2389,1,2,16
2427,1,2,17
2472,1,2,18
2517,1,2,19
2569,1,2,19
2610,1,2,20
2665,1,2,20
2670,1,2,21
2726,1,2,22
2772,1,2,23
2826,1,2,23
2829,1,2,24
2872,1,2,25
2906,1,3,1
2961,1,3,1
2981,1,3,2
3009,1,3,3
3062,1,3,4
3087,1,3,5
3143,1,3,5
3146,1,3,6
3201,1,3,6
3230,1,3,7
3285,1,3,8
3344,1,3,8
3358,1,3,9
3389,1,3,10
3427,1,3,11
3480,1,3,12
3522,1,3,13
3572,1,3,14
3627,1,3,14
3653,1,3,15
3711,1,3,15
3714,1,3,16
3771,1,3,16
3777,1,3,17
3832,1,3,17
3869,1,3,18
3899,1,3,19
3951,1,3,19
3955,1,3,20
3988,1,3,21
4025,1,3,22
4079,1,3,22
4104,1,3,23
4146,1,3,24
4203,1,3,24
4213,1,4,1
4262,1,4,2
4308,1,4,3
4344,1,4,4
4395,1,4,5
4434,1,4,6
4468,1,4,7
4524,1,4,8
4578,1,4,9
4624,1,4,10
4660,1,4,11
4707,1,4,12
4745,1,4,13
4772,1,4,14
4827,1,4,14
4837,1,4,15
4892,1,4,15
4901,1,4,16
4935,1,4,17
4989,1,4,17
4993,1,4,18
5050,1,4,18
5058,1,4,19
5094,1,4,20
5126,1,4,21
5160,1,4,22
5215,1,4,23
5269,1,4,23
5284,1,4,24
5312,1,4,25
5366,1,4,25
5378,1,4,26
5423,1,5,1
5467,1,5,2
5509,1,5,3
5556,1,5,4
5605,1,5,5
5646,1,5,6
5677,1,5,7
5732,1,5,8
5770,1,5,9
5797,1,5,10
5852,1,5,10
5857,1,5,11
5893,1,5,12
5922,1,5,13
5978,1,5,13
5983,1,5,14
6019,1,5,15
6054,1,5,16
6108,1,5,16
6113,1,5,17
6157,1,5,18
6194,1,5,19
6242,1,5,20
6282,1,5,21
6314,1,5,22
6369,1,5,22
6374,1,5,23
6409,1,5,24
6446,1,5,25
6485,1,5,26
6540,1,5,26
6549,1,5,27
6591,1,5,28
6625,1,5,29
6681,1,5,29
6685,1,5,30
6737,1,5,30
6742,1,5,31
6781,1,5,32
6820,1,6,1
6858,1,6,2
6912,1,6,3
6969,1,6,4
7025,1,6,4
7057,1,6,5
7105,1,6,6
7140,1,6,7
7196,1,6,7
7218,1,6,8
7235,1,6,9
7282,1,6,10
7311,1,6,11
7342,1,6,12
7390,1,6,13
7446,1,6,13
7452,1,6,14
7501,1,6,15
7557,1,6,16
7610,1,6,16
7620,1,6,17
7673,1,6,17
7691,1,6,18
7741,1,6,19
7791,1,6,20
7847,1,6,20
7853,1,6,21
7899,1,6,22
7927,1,7,1
7982,1,7,2
8037,1,7,2
8049,1,7,3
8095,1,7,4
8152,1,7,4
8178,1,7,5
8198,1,7,6
8230,1,7,7
8274,1,7,8
8330,1,7,9
8375,1,7,10
8406,1,7,11
8462,1,7,11
8490,1,7,12
8524,1,7,13
8577,1,7,13
8581,1,7,14
8635,1,7,14
8656,1,7,15
8698,1,7,16
8749,1,7,17
8804,1,7,18
8845,1,7,19
8897,1,7,20
8931,1,7,21
8987,1,7,21
8991,1,7,22
9026,1,7,23
9078,1,7,23
9109,1,7,24
9137,1,8,1
9193,1,8,1
9208,1,8,2
9249,1,8,3
9299,1,8,4
9341,1,8,5
9397,1,8,6
9436,1,8,7
9476,1,8,8
9516,1,8,9
9569,1,8,9
9599,1,8,10
9639,1,8,11
9693,1,8,11
9697,1,8,12
9747,1,8,13
9802,1,8,13
9830,1,8,14
9865,1,8,15
9883,1,8,16
9915,1,8,17
9968,1,8,17
9991,1,8,18
10018,1,8,19
10068,1,8,20
10120,1,8,20
10125,1,8,21
10181,1,8,21
10233,1,8,22
10282,1,9,1
10329,1,9,2
10384,1,9,2
10403,1,9,3
10446,1,9,4
10466,1,9,5
10523,1,9,5
10532,1,9,6
10572,1,9,7
10597,1,9,8
10625,1,9,9
10662,1,9,10
10716,1,9,10
10726,1,9,11
10780,1,9,11
10788,1,9,12
10844,1,9,12
10856,1,9,13
10895,1,9,14
10927,1,9,15
10982,1,9,15
11000,1,9,16
11055,1,9,16
11067,1,9,17
11122,1,9,18
11166,1,9,19
11193,1,9,20
11214,1,9,21
11242,1,9,22
11281,1,9,23
11336,1,9,23
11368,1,9,24
11401,1,9,25
11431,1,9,26
11464,1,9,27
11502,1,9,28
11535,1,9,29
11569,1,10,1
11612,1,10,2
11647,1,10,3
11670,1,10,4
11698,1,10,5
11742,1,10,6
11766,1,10,7
11813,1,10,8
11844,1,10,9
11892,1,10,10
11931,1,10,11
11975,1,10,12
12008,1,10,13
12049,1,10,14
12092,1,10,15
12115,1,10,16
12141,1,10,17
12164,1,10,18
12209,1,10,19
12266,1,10,19
12269,1,10,20
12302,1,10,21
12336,1,10,22
12365,1,10,23
12386,1,10,24
12413,1,10,25
12464,1,10,26
12501,1,10,27
12523,1,10,28
12545,1,10,29
12579,1,10,30
12606,1,10,31
12639,1,10,32
12692,1,11,1
12719,1,11,2
12757,1,11,3
12812,1,11,3
12827,1,11,4
12882,1,11,4
12888,1,11,5
12927,1,11,6
12981,1,11,6
12993,1,11,7
13031,1,11,8
13070,1,11,9
13123,1,11,9
13127,1,11,10
13173,1,11,11
13221,1,11,12
13252,1,11,13
13305,1,11,13
13310,1,11,14
13334,1,11,15
13389,1,11,16
13419,1,11,17
13475,1,11,18
13500,1,11,19
13552,1,11,20
13583,1,11,21
13636,1,11,22
13663,1,11,23
13709,1,11,24
13739,1,11,25
13793,1,11,26
13831,1,11,27
13883,1,11,28
13921,1,11,29
13975,1,11,29
13987,1,11,30
14006,1,11,31
14058,1,11,31
14104,1,11,32
14142,1,12,1
14196,1,12,2
14232,1,12,3
14273,1,12,4
14329,1,12,4
14338,1,12,5
14391,1,12,5
14431,1,12,6
14476,1,12,7
14533,1,12,7
14537,1,12,8
14592,1,12,8
14609,1,12,9
14631,1,12,10
14675,1,12,11
14730,1,12,11
14736,1,12,12
14783,1,12,13
14825,1,12,14
14871,1,12,15
14916,1,12,16
14974,1,12,17
15021,1,12,18
15071,1,12,19
15114,1,12,20
15157,1,13,1
15199,1,13,2
15224,1,13,3
15278,1,13,3
15285,1,13,4
15328,1,13,5
15361,1,13,6
15409,1,13,7
15462,1,13,7
15466,1,13,8
15518,1,13,8
15532,1,13,9
15585,1,13,10
15637,1,13,10
15670,1,13,11
15719,1,13,12
15759,1,13,13
15785,1,13,14
15840,1,13,14
15860,1,13,15
15898,1,13,16
15949,1,13,16
15953,1,13,17
15985,1,13,18
16035,1,14,1
16089,1,14,1
16093,1,14,2
16146,1,14,2
16164,1,14,3
16192,1,14,4
16231,1,14,5
16288,1,14,5
16319,1,14,6
16354,1,14,7
16410,1,14,7
16418,1,14,8
16466,1,14,8
16489,1,14,9
16543,1,14,9
16560,1,14,10
16615,1,14,10
16618,1,14,11
16652,1,14,12
16694,1,14,13
16749,1,14,13
16767,1,14,14
16822,1,14,14
16831,1,14,15
16883,1,14,16
16932,1,14,17
16987,1,14,17
17003,1,14,18
17044,1,14,19
17083,1,14,20
17122,1,14,21
17156,1,14,22
17205,1,14,23
17257,1,14,24
17311,1,14,24
17319,1,15,1
17374,1,15,1
17387,1,15,2
17442,1,15,2
17448,1,15,3
17487,1,15,4
17538,1,15,5
17596,1,15,5
17608,1,15,6
17630,1,15,7
17685,1,15,8
17712,1,15,9
17759,1,15,10
17813,1,15,10
17816,1,15,11
17843,1,15,12
17895,1,15,13
17949,1,15,13
17956,1,15,14
17998,1,15,15
18031,1,15,16
18068,1,15,17
18120,1,15,17
18124,1,15,18
18176,1,15,18
18197,1,15,19
18221,1,15,20
18245,1,15,21
18280,1,16,1
18318,1,16,2
18373,1,16,2
18389,1,16,3
18445,1,16,3
18467,1,16,4
18505,1,16,5
18559,1,16,5
18583,1,16,6
18637,1,16,6
18642,1,16,7
18683,1,16,8
18739,1,16,9
18778,1,16,10
18817,1,16,11
18870,1,16,11
18874,1,16,12
18917,1,16,13
18968,1,16,14
19004,1,16,15
19048,1,16,16
19090,1,17,1
19144,1,17,1
19164,1,17,2
19199,1,17,3
19230,1,17,4
19260,1,17,5
19308,1,17,6
19348,1,17,7
19404,1,17,7
19421,1,17,8
19478,1,17,8
19484,1,17,9
19534,1,17,10
19586,1,17,11
19626,1,17,12
19679,1,17,12
19692,1,17,13
19742,1,17,14
19797,1,17,15
19843,1,17,16
19896,1,17,16
19900,1,17,17
19952,1,17,17
19963,1,17,18
19998,1,17,19
20053,1,17,19
20075,1,17,20
20131,1,17,20
20158,1,17,21
20204,1,17,22
20232,1,17,23
20284,1,17,23
20337,1,17,24
20370,1,17,25
20407,1,17,26
20437,1,17,27
20478,1,18,1
20520,1,18,2
20577,1,18,2
20587,1,18,3
20628,1,18,4
20662,1,18,5
20715,1,18,5
20727,1,18,6
20781,1,18,7
20833,1,18,8
20886,1,18,8
20892,1,18,9
20924,1,18,10
20979,1,18,10
20984,1,18,11
21028,1,18,12
21071,1,18,13
21122,1,18,14
21161,1,18,15
21199,1,18,16
21244,1,18,17
21275,1,18,18
21319,1,18,19
21373,1,18,19
21413,1,18,20
21454,1,18,21
21494,1,18,22
21539,1,18,23
21569,1,18,24
21626,1,18,24
21634,1,18,25
21688,1,18,25
21704,1,18,26
21761,1,18,27
21808,1,18,28
21864,1,18,28
21883,1,18,29
21937,1,18,29
21944,1,18,30
21997,1,18,30
22008,1,18,31
22063,1,18,31
22074,1,18,32
22126,1,18,32
22141,1,18,33
22180,1,19,1
22234,1,19,1
22248,1,19,2
22301,1,19,2
22332,1,19,3
22387,1,19,4
22440,1,19,5
22494,1,19,5
22502,1,19,6
22531,1,19,7
22547,1,19,8
22601,1,19,8
22644,1,19,9
22698,1,19,9
22722,1,19,10
22771,1,19,11
22824,1,19,12
22879,1,19,12
22886,1,19,13
22940,1,19,13
22945,1,19,14
23002,1,19,14
23031,1,19,15
23085,1,19,15
23105,1,19,16
23162,1,19,16
23182,1,19,17
23237,1,19,17
23255,1,19,18
23275,1,19,19
23327,1,19,19
23363,1,19,20
23415,1,19,20
23423,1,19,21
23475,1,19,22
23526,1,19,23
23549,1,19,24
23593,1,19,25
23640,1,19,26
23665,1,19,27
23703,1,19,28
23755,1,19,28
23765,1,19,29
23818,1,19,29
23846,1,19,30
23900,1,19,30
23912,1,19,31
23965,1,19,31
23969,1,19,32
24009,1,19,33
24065,1,19,33
24071,1,19,34
24124,1,19,34
24154,1,19,35
24210,1,19,35
24215,1,19,36
24237,1,19,37
24277,1,19,38
24327,1,20,1
24372,1,20,2
24424,1,20,3
24480,1,20,3
24487,1,20,4
24526,1,20,5
24579,1,20,5
24587,1,20,6
24644,1,20,6
24673,1,20,7
24728,1,20,7
24743,1,20,8
24797,1,20,8
24812,1,20,9
24867,1,20,9
24903,1,20,10
24942,1,20,11
24997,1,20,12
25035,1,20,13
25089,1,20,13
25116,1,20,14
25169,1,20,15
25204,1,20,16
25259,1,20,16
25266,1,20,17
25322,1,20,18
25368,1,21,1
25407,1,21,2
25451,1,21,3
25491,1,21,4
25534,1,21,5
25564,1,21,6
25597,1,21,7
25641,1,21,8
25686,1,21,9
25723,1,21,10
25776,1,21,10
25780,1,21,11
25810,1,21,12
25864,1,21,12
25890,1,21,13
25920,1,21,14
25972,1,21,14
25997,1,21,15
26034,1,21,16
26089,1,21,16
26102,1,21,17
26156,1,21,17
26196,1,21,18
26239,1,21,19
26294,1,21,20
26333,1,21,21
26367,1,21,22
26422,1,21,22
26431,1,21,23
26486,1,21,23
26510,1,21,24
26528,1,21,25
26576,1,21,26
26629,1,21,26
26644,1,21,27
26686,1,21,28
26713,1,21,29
26759,1,21,30
26810,1,21,30
26814,1,21,31
26850,1,21,32
26904,1,21,33
26938,1,21,34
26965,1,22,1
27022,1,22,2
