posicion,libro,capitulo,versiculo
0,25,1,1
1,25,1,1
2,25,1,1
3,25,1,1
4,25,1,1
5,25,1,1
6,25,1,1
7,25,1,1
8,25,1,1
9,25,1,1
10,25,1,1
11,25,1,1
12,25,1,1
13,25,1,1
14,25,1,1
15,25,1,1
16,25,1,1
17,25,1,1
18,25,1,1
19,25,1,1
20,25,1,1
21,25,1,1
22,25,1,1
23,25,1,1
24,25,1,1
25,25,1,1
26,25,1,1
27,25,1,1
28,25,1,1
29,25,1,1
30,25,1,1
31,25,1,1
32,25,1,1
33,25,1,1
34,25,1,1
35,25,1,1
36,25,1,1
37,25,1,1
38,25,1,1
39,25,1,1
40,25,1,1
41,25,1,1
42,25,1,1
43,25,1,1
44,25,1,1
45,25,1,1
46,25,1,1
47,25,1,1
48,25,1,1
49,25,1,1
50,25,1,1
51,25,1,1
52,25,1,1
53,25,1,1
54,25,1,1
55,25,1,1
56,25,1,1
57,25,1,1
58,25,1,1
59,25,1,1
60,25,1,1
61,25,1,1
62,25,1,2
63,25,1,2
64,25,1,2
65,25,1,2
66,25,1,2
67,25,1,2
68,25,1,2
69,25,1,2
70,25,1,2
71,25,1,2
72,25,1,2
73,25,1,2
74,25,1,2
75,25,1,2
76,25,1,2
77,25,1,2
78,25,1,2
79,25,1,2
80,25,1,2
81,25,1,3
82,25,1,3
83,25,1,3
84,25,1,3
85,25,1,3
86,25,1,3
87,25,1,3
88,25,1,3
89,25,1,3
90,25,1,3
91,25,1,3
92,25,1,3
93,25,1,3
94,25,1,3
95,25,1,3
96,25,1,3
97,25,1,3
98,25,1,3
99,25,1,3
100,25,1,3
101,25,1,3
102,25,1,3
103,25,1,3
104,25,1,3
105,25,1,3
106,25,1,3
107,25,1,3
108,25,1,3
109,25,1,3
110,25,1,3
111,25,1,3
112,25,1,3
113,25,1,3
114,25,1,3
115,25,1,3
116,25,1,3
117,25,1,3
118,25,1,3
119,25,1,3
120,25,1,3
121,25,1,3
122,25,1,3
123,25,1,3
124,25,1,3
125,25,1,3
126,25,1,3
127,25,1,3
128,25,1,3
129,25,1,3
130,25,1,3
131,25,1,3
132,25,1,3
133,25,1,3
134,25,1,3
135,25,1,3
136,25,1,3
137,25,1,3
138,25,1,3
139,25,1,3
140,25,1,3
141,25,1,3
142,25,1,3
143,25,1,3
144,25,1,3
145,25,1,4
146,25,1,4
147,25,1,4
148,25,1,4
149,25,1,4
150,25,1,4
151,25,1,4
152,25,1,4
153,25,1,4
154,25,1,4
155,25,1,4
156,25,1,4
157,25,1,4
158,25,1,4
159,25,1,4
160,25,1,4
161,25,1,4
162,25,1,4
163,25,1,4
164,25,1,4
165,25,1,4
166,25,1,4
167,25,1,4
168,25,1,4
169,25,1,4
170,25,1,4
171,25,1,4
172,25,1,4
173,25,1,4
174,25,1,4
175,25,1,4
176,25,1,4
177,25,1,4
178,25,1,4
179,25,1,4
180,25,1,4
181,25,1,4
182,25,1,4
183,25,1,4
184,25,1,4
185,25,1,4
186,25,1,4
187,25,1,4
188,25,1,4
189,25,1,4
190,25,1,4
191,25,1,4
192,25,1,4
193,25,1,4
194,25,1,4
195,25,1,4
196,25,1,4
197,25,1,4
198,25,1,4
199,25,1,4
200,25,1,4
201,25,1,4
202,25,1,4
203,25,1,4
204,25,1,4
205,25,1,4
206,25,1,4
207,25,1,4
208,25,1,4
209,25,1,4
210,25,1,4
211,25,1,4
212,25,1,4
213,25,1,4
214,25,1,4
215,25,1,4
216,25,1,4
217,25,1,4
218,25,1,4
219,25,1,4
220,25,1,4
221,25,1,4
222,25,1,4
223,25,1,4
224,25,1,4
225,25,1,4
226,25,1,4
227,25,1,4
228,25,1,4
229,25,1,4
230,25,1,4
231,25,1,4
232,25,1,4
233,25,1,4
234,25,1,4
235,25,1,4
236,25,1,4
237,25,1,4
238,25,1,4
239,25,1,4
240,25,1,4
241,25,1,4
242,25,1,4
243,25,1,4
244,25,1,4
245,25,1,4
246,25,1,4
247,25,1,4
248,25,1,4
249,25,1,4
250,25,1,4
251,25,1,4
252,25,1,4
253,25,1,4
254,25,1,4
255,25,1,4
256,25,1,4
257,25,1,4
258,25,1,4
259,25,1,4
260,25,1,4
261,25,1,4
262,25,1,4
263,25,1,4
264,25,1,4
265,25,1,4
266,25,1,4
267,25,1,4
268,25,1,5
269,25,1,5
270,25,1,5
271,25,1,5
272,25,1,5
273,25,1,5
274,25,1,5
275,25,1,5
276,25,1,5
277,25,1,5
278,25,1,5
279,25,1,5
280,25,1,5
281,25,1,5
282,25,1,5
283,25,1,5
284,25,1,5
285,25,1,5
286,25,1,5
287,25,1,5
288,25,1,5
289,25,1,5
290,25,1,5
291,25,1,5
292,25,1,5
293,25,1,5
294,25,1,5
295,25,1,5
296,25,1,5
297,25,1,6
298,25,1,6
299,25,1,6
300,25,1,6
301,25,1,6
302,25,1,6
303,25,1,6
304,25,1,6
305,25,1,6
306,25,1,6
307,25,1,6
