posicion,libro,capitulo,versiculo
0,3,1,1
35,3,1,2
92,3,1,2
113,3,1,3
168,3,1,3
176,3,1,4
207,3,1,5
264,3,1,5
286,3,1,6
311,3,1,7
350,3,1,8
407,3,1,8
414,3,1,9
468,3,1,9
473,3,1,10
522,3,1,11
576,3,1,11
585,3,1,12
641,3,1,12
648,3,1,13
704,3,1,13
716,3,1,14
770,3,1,15
823,3,1,15
828,3,1,16
876,3,1,17
933,3,1,17
951,3,2,1
1006,3,2,1
1010,3,2,2
1065,3,2,2
1104,3,2,3
1145,3,2,4
1202,3,2,4
1206,3,2,5
1244,3,2,6
1274,3,2,7
1302,3,2,8
1356,3,2,9
1407,3,2,10
1448,3,2,11
1503,3,2,11
1511,3,2,12
1556,3,2,13
1613,3,2,13
1621,3,2,14
1673,3,2,14
1679,3,2,15
1709,3,2,16
1755,3,3,1
1809,3,3,1
1817,3,3,2
1874,3,3,2
1883,3,3,3
1938,3,3,3
1942,3,3,4
1994,3,3,4
2006,3,3,5
2063,3,3,5
2068,3,3,6
2116,3,3,7
2153,3,3,8
2209,3,3,8
2218,3,3,9
2277,3,3,9
2306,3,3,10
2358,3,3,10
2369,3,3,11
2397,3,3,12
2422,3,3,13
2474,3,3,13
2483,3,3,14
2537,3,3,14
2541,3,3,15
2593,3,3,15
2604,3,3,16
2645,3,3,17
2687,3,4,1
2705,3,4,2
2762,3,4,2
2770,3,4,3
2823,3,4,3
2833,3,4,4
2886,3,4,4
2897,3,4,5
2933,3,4,6
2989,3,4,7
3046,3,4,7
3082,3,4,8
3136,3,4,8
3140,3,4,9
3193,3,4,9
3205,3,4,10
3247,3,4,11
3289,3,4,12
3341,3,4,12
3361,3,4,13
3416,3,4,13
3429,3,4,14
3487,3,4,14
3494,3,4,15
3547,3,4,16
3576,3,4,17
3624,3,4,18
3678,3,4,18
3705,3,4,19
3734,3,4,20
3784,3,4,21
3839,3,4,21
3842,3,4,22
3896,3,4,23
3946,3,4,24
4000,3,4,24
4003,3,4,25
4059,3,4,25
4067,3,4,26
4123,3,4,26
4125,3,4,27
4178,3,4,27
4182,3,4,28
4238,3,4,28
4244,3,4,29
4283,3,4,30
4337,3,4,30
4342,3,4,31
4398,3,4,31
4426,3,4,32
4461,3,4,33
4510,3,4,34
4564,3,4,34
4573,3,4,35
4630,3,4,35
4671,3,5,1
4725,3,5,2
4781,3,5,2
4807,3,5,3
4859,3,5,4
4916,3,5,4
4939,3,5,5
4973,3,5,6
5027,3,5,6
5050,3,5,7
5102,3,5,7
5123,3,5,8
5180,3,5,8
5185,3,5,9
5238,3,5,10
5288,3,5,11
5344,3,5,11
5392,3,5,12
5449,3,5,12
5460,3,5,13
5514,3,5,14
5532,3,5,15
5588,3,5,15
5617,3,5,16
5673,3,5,16
