posicion,libro,capitulo,versiculo
0,4,1,1
57,4,1,1
70,4,1,2
127,4,1,3
179,4,1,4
216,4,1,5
262,4,1,6
283,4,1,7
302,4,1,8
319,4,1,9
335,4,1,10
382,4,1,11
400,4,1,12
417,4,1,13
433,4,1,14
448,4,1,15
465,4,1,16
506,4,1,17
542,4,1,18
597,4,1,18
624,4,1,19
655,4,1,20
713,4,1,20
742,4,1,21
778,4,1,22
837,4,1,22
858,4,1,23
894,4,1,24
951,4,1,24
954,4,1,25
993,4,1,26
1049,4,1,26
1055,4,1,27
1091,4,1,28
1147,4,1,28
1153,4,1,29
1191,4,1,30
1247,4,1,30
1253,4,1,31
1290,4,1,32
1347,4,1,32
1360,4,1,33
1392,4,1,34
1448,4,1,34
1454,4,1,35
1487,4,1,36
1543,4,1,36
1549,4,1,37
1586,4,1,38
1642,4,1,38
1645,4,1,39
1677,4,1,40
1734,4,1,40
1737,4,1,41
1771,4,1,42
1829,4,1,42
1832,4,1,43
1869,4,1,44
1923,4,1,44
1931,4,1,45
1983,4,1,45
1989,4,1,46
2035,4,1,47
2062,4,1,48
2080,4,1,49
2120,4,1,50
2173,4,1,50
2210,4,1,51
2265,4,1,51
2269,4,1,52
2307,4,1,53
2363,4,1,53
2379,4,1,54
2415,4,2,1
2440,4,2,2
2493,4,2,3
2547,4,2,3
2553,4,2,4
2586,4,2,5
2629,4,2,6
2663,4,2,7
2695,4,2,8
2728,4,2,9
2785,4,2,9
2794,4,2,10
2845,4,2,11
2877,4,2,12
2924,4,2,13
2957,4,2,14
2986,4,2,15
3025,4,2,16
3083,4,2,16
3092,4,2,17
3143,4,2,17
3150,4,2,18
3199,4,2,19
3228,4,2,20
3267,4,2,21
3298,4,2,22
3333,4,2,23
3367,4,2,24
3421,4,2,25
3465,4,2,26
3497,4,2,27
3537,4,2,28
3570,4,2,29
3604,4,2,30
3638,4,2,31
3690,4,2,31
3697,4,2,32
3753,4,2,32
3772,4,2,33
3814,4,2,34
3867,4,2,34
3885,4,3,1
3925,4,3,2
3965,4,3,3
4004,4,3,4
4061,4,3,4
4097,4,3,5
4115,4,3,6
4156,4,3,7
4209,4,3,8
4259,4,3,9
4308,4,3,10
4350,4,3,11
4368,4,3,12
4423,4,3,12
4434,4,3,13
4487,4,3,13
4510,4,3,14
4537,4,3,15
4584,4,3,16
4610,4,3,17
4643,4,3,18
4675,4,3,19
4709,4,3,20
4755,4,3,21
4798,4,3,22
4848,4,3,23
4875,4,3,24
4901,4,3,25
4952,4,3,26
5008,4,3,26
5013,4,3,27
5071,4,3,27
5081,4,3,28
5131,4,3,29
5161,4,3,30
5195,4,3,31
5252,4,3,31
5257,4,3,32
5303,4,3,33
5343,4,3,34
5385,4,3,35
5437,4,3,36
5492,4,3,36
5497,4,3,37
5531,4,3,38
5589,4,3,38
5620,4,3,39
5672,4,3,39
5690,4,3,40
5744,4,3,40
5748,4,3,41
5803,4,3,41
5820,4,3,42
5859,4,3,43
5915,4,3,43
5927,4,3,44
5945,4,3,45
5998,4,3,45
6010,4,3,46
6063,4,3,47
6110,4,3,48
6144,4,3,49
6183,4,3,50
6236,4,3,51
6288,4,4,1
6313,4,4,2
6352,4,4,3
6407,4,4,4
6437,4,4,5
